builder_raw,model_rows,first_year_min,first_year_max,sample_model
Tradition Marine,1,2001,2001,TM 42
Traditional Watercraft/Island Packet,2,1980,1982,ISLAND PACKET 26 MKI
Trecarne Boats (UK),1,1989,1989,GYPSY III
Tremolino Boat Co.(USA),1,1986,1986,ARGONAUTA 27
Triangle Marine Co./Grampian Marine Ltd.,2,1961,1961,TRIANGLE 20
Trident Marine (UK),2,1978,1980,VOYAGER 30 (PRIMROSE)
Trident Marine Ltd. (UK),1,1980,1980,MACWESTER ROWAN CROWN
TriFoiler Inc./Hobie Cat,1,1994,1994,HOBIE TRIFOILER
Trinity Marine (SWE),1,1994,1994,B&R-38
Trintella,2,1986,1996,TRINTELLA 47
Trio Boats (SWE),3,1976,1982,TRIO 96
Tropic Trailer Yachts (AUSTRALIA),1,1980,1980,TROPIC 460
Truant Marine,1,1980,1980,TRUANT 370
Trump Yachts (USA),1,1972,1972,TRUMP 27
Tucker Brown & Co. (UK),1,1959,1959,STELLA 26
Tufa Marin,1,1990,1990,JUBILEE 40
Turku Boatyard / Fiskars(FIN),1,1970,1970,FINNSAILER 29
Turner Marine,1,1941,1941,Y FLYER
Twister Yachts (POL),1,2014,2014,TWISTER 26
Tyler Boat Co.,3,1964,1975,LEGEND 29
Tyler Boat Co. (UK),1,1970,1970,HUSTLER 30
Tyler Boat Co. Ltd. (UK) /Malo Yachts,1,1969,1969,OHLSON 38
Tyler Moldings Ltd. (UK),1,1969,1969,PIONIER 10
Tyler Moldings/Anne Wever,1,1963,1963,TRINTELLA I
Tyler Mouldings  Ltd. (UK),1,1969,1969,TUFGLAS 38
Tyler Mouldings (UK),1,1960,1960,GLASS SLIPPER 50
Tyler Mouldings Ltd. (UK),1,1976,1976,TUFGLAS 33
Tylercraft Inc. (USA),2,1959,1968,TYLERCRAFT 21
Tylers Boat Co.Southern Ocean Shipyards Ltd. (UK),1,1966,1966,GALLANT 53
UFO Boats (ITA),1,1997,1997,UFO 28
Ultimate Sailboats (USA),1,1995,1995,ULTIMATE 24
Ultimate Sailboats Internation,1,1996,1996,ANTRIM 27
Uniflite Corp.,1,1963,1963,LUDERS 44 (FG)
Uniflite Inc. (USA),1,1963,1963,ANNAPOLIS 44
Uniflite/Valiant Yachts (USA),3,1973,1981,VALIANT 40 (101-199)
Union Yacht Co. (TIAWAN),1,1977,1977,UNION 36
United Ocean Industries (TAIWAN),1,1975,1975,ISLAND TRADER 38
Universal Marine Corp. (USA),1,1976,1976,MONTEGO 20
Universal Plastic Prod./Silverline Boats (USA),1,1970,1970,DOLPHIN 17
"Unknown, possibly Pacific Asian Enterprises",1,1978,1978,MASON 37
Upham's/Tucker Brown &Co. (UK),1,1963,1963,NORTH SEA 24
Uphams (UK),1,1963,1963,STERLING 28
Uphams/Tyler (UK),1,1964,1964,TWISTER 28 (HOLMAN)
US Steel/North Star Yachts (CAN),1,1971,1971,NORTH STAR 38 (HUGHES)
US Yachts - Bayliner (USA),9,1963,1983,US 22
v d Rest Nautic bv,1,1980,1980,PIEWIET 850
Vagabond/Blue Water Yacht Builders (TAIWAN),1,1978,1978,VAGABOND 42
Valiant (USA),1,1981,1981,VALIANT 47
Valiant Yachts (USA),2,1976,1995,VALIANT 32
Van Dam Nordia Shipyard (NED),1,2005,2005,NORDIA 66 CRUISER
van den Brink (NED) / home built,1,1964,1964,KOLIBRI 560
Van der Rest Nautic bv,4,1970,1986,PIEWIET 820 FLUSH DECK
Van Heygen (BEL),1,1967,1967,SPIRIT 24 (VAN DE STADT)
Van Munster Boats,1,2014,2014,FB35
Vancouver 25 Yacht Co. Inc. (CAN),1,1983,1983,VANCOUVER 25
Vandestadt & McGruer,2,1965,1969,SPINDRIFT 13
Vandestadt & McGruer Ltd.(CAN),1,1976,1976,SIRIUS (CAN)
Vandestadt and McGruer,1,1972,1972,SHRIMP
Vandestadt and McGruer Ltd.,1,1987,1987,SIRIUS 26 (CAN)
Vanguard (USA),1,2003,2003,NOMAD 17
Vanguard Sailboats (USA),1,1999,1999,LASER CAT
various,3,1966,1991,F-9A
Various,33,1928,2013,EASY 11.6
Various (Owner built),1,,,REINKE 13M
Various (wood); Nicanders Batvarv (SWE); Segmo Plast (SWE) (FG),1,1938,1938,NEPTUNE CRUISER
Various - mostly amateur built,2,1957,1959,WATERWITCH 30 MKII
Various amateur or professional,1,1985,1985,PACEMAKER MKII
Various builders. See notes below.,1,1970,1970,SAILHORSE
Various from plans,2,1976,1976,SPINDRIFT 40 (CROWTHER)
various from plans,2,1972,1974,BUCCANEER 40 (CROWTHER)
Various home and professional,1,,,ECLIPSE (WOODS)
Various home builders,1,1984,1984,TIKI 26
Various home built,1,1975,1975,CHERRY 16
Various home or professionally built,1,,,HOUDINI
Various owner built,1,1956,1956,QUICKCAT
Various-Amateur constr.,1,1957,1957,EVENTIDE 24
Various. Owner built.,1,1982,1982,NORTH 26
Various. Plans available. See links below.,1,1983,1983,TOM THUMB 24
Various. Plans for home builder.,1,2008,2008,PERIWINKLE (LILLISTONE)
Vashon Boat Works,1,1976,1976,QUARTERMASTER 10
Ventus Yachts (TUR),1,2019,2019,VENTUS 33
Verl Yachts. (UK)/Oyster Marine,1,1979,1979,HUSTLER SJ-30
Verlvale Ltd. (UK),1,1973,1973,VERL 27
Verlvale Ltd. (UK)/Humber Boat Co. (UK),1,1977,1977,VERL 790
Vermaas Shipbuilding (NL),1,1981,1981,VENO 108
Victoire Jachtbouw (NL),7,1967,2008,VICTOIRE 28
Victoire Yachts (NED),1,2005,2005,VICTOIRE V35
Victoire Yachts (NL),1,2007,2007,VICTOIRE 37
Victoria Marine Ltd (UK),1,1985,1985,VICTORIA 34
Victoria Marine Ltd. (UK),1,1984,1984,VICTORIA 30 (PAINE)
Victoria Yachts Inc. (USA),1,1982,1982,VICTORIA 26 (MCVAY)
Viko Yachts  (POLAND),1,2012,2012,VIKO 30
Viko Yachts (POLAND),5,2012,2019,VIKO S 26
Vindo,1,1987,1987,VINDO 90
Vindö Marin AB (SWE),3,1974,1987,VINDO 65 MIX
Vindö/Gull Marine (SWE),1,1978,1978,OMEGA 42
Vintage Boat Co./Americat (USA),1,1969,1969,AMERICAT 22
Vision Yachts (SA),1,2018,2018,VISION 444
Voiliers Elite Yachts Int. (CAN),1,1989,1989,ELITE 446
Vokrug Sveta,2,2009,2012,VS 975 / BC 975
Voyage Yachts,2,2001,2010,VOYAGE 520
Voyager Marine Inc. (USA),1,1979,1979,VOYAGER 26
VT Halmatic/Moody Yachts (UK),1,2005,2005,MOODY 49
W. A. Chapman,1,1945,1945,GLEN CLASS
W. B. Stearns (USA),1,1897,1897,SEAWANHAKA KNOCKABOUT
W. D Schock (USA),1,2004,2004,HARBOR 14 (SCHOCK)
W. D. Schock,1,2007,2007,HARBOR 25
W. D. Schock Co. (USA),1,1921,1921,SNOWBIRD
W. D. Schock Corp. (USA),2,1967,1974,SANTANA 30
W. D. Schock Corp.(USA),14,1958,1999,SCHOCK 34 PC
W. D. Schock Corp./CSK(USA),1,1970,1970,POLYNESIAN CONCEPT
W. H. Rowlands,1,1928,1928,CONWAY ONE DESIGN
W.D. Schock Corp. (USA),1,1971,1971,SANTANA 26
Waarschip (NL),2,1983,1986,WAARSCHIP 1220
Waarschip Werft,2,1963,1978,WAARSCHIP 600
Waarschuw (NL),2,1994,2011,WAARSCHIP 28 LD
Walloon Marine (USA),1,1934,1934,WALLOON LAKE 17
Walter Lawrence & Son Ltd. (UK),1,1959,1959,AUDACITY (LAURENT GILES)
Wasa (SWE),1,1987,1987,WASA 420
Wasa Marin A.B. (SWE),2,1983,1985,WASA 37
Wasa Yachts (SWE),5,1979,1987,WASA 360
Watkins Yachts (USA),1,1981,1981,WATKINS 36C
Watkins Yachts Inc. (USA),4,1973,1987,WATKINS 25
Wauquiez,1,2014,2014,CENTURION 57
Wauquiez (FRA),5,1991,2006,KRONOS 45 (WAUQUIEZ)
Wauquiez Boats,1,2015,2015,WAUQUIEZ PILOT SALOON 48-2
Wayfarer Yacht Corp. (USA),3,1969,1970,YACHTCRAFT 34
Wayfarer Yacht Corp. / Islander Yachts (USA),2,1968,1968,ISLANDER 30
Wegu (GER),1,1980,1980,WEGU 701 (FINOT)
Wegu (GER/CAN),1,1963,1963,TEMPO
Wegu Canada Ltd.,1,1974,1974,HAPPY SAILER 18
Wellcraft Marine (USA),1,1984,1984,STARWIND 15
Wellcraft Marine/Rebel Industries (USA),2,1982,1984,STARWIND 223
Wellington Boat Co. Inc. (USA),1,1982,1982,WINDSHIP 63
Wellington Boats Inc. (USA),4,1969,1978,WELLINGTON 44
Werf Gusto,1,1963,1963,SAILMASTER 26
Werf Gusto (NL),1,1963,1963,SAILMASTER 45
Werf t' Waarschip (NED),1,1971,1971,WAARSCHIP 1010
Westerly Marine (USA),3,1984,1984,WYLIE 38
Westerly Marine Contruction Ltd. (UK),1,1990,1990,TYPHOON 37 (WESTERLY)
Westerly Marine Ltd. (UK),16,1969,1997,CENTAUR 26 (WESTERLY)
Westerly Yachts Ltd. (UK),7,1977,1993,TEMPEST 31 (WESTERLY)
Westfield Engineering Co. (UK),1,1972,1972,KINGFISHER 26
Westphal Boats Inc.  (USA),1,1967,1967,WESTPHAL ONE-DESIGN
Westsail Corp. (USA),1,1975,1975,WESTSAIL 28
Westsail Corp. (USA)/Jomarco,1,1974,1974,WESTSAIL 42
Weta Marine Ltd. (New Zealand)),1,2004,2004,WETA 4.4
Whitby Boat Works (CAN),1,1961,1961,WALTON  25 (WHITBY)
Whitby Boat Works Ltd. (CAN),2,1962,1967,ALBERG 37
Whitby Boatworks/Ft. Meyers Yacht and Shipbuilding,1,1972,1972,WHITBY 42
White Formula,1,1996,1996,BLAZE
Whiting Yachts (NZ),1,1977,1977,WHITING 1/4 TON (MAGIC BUS)
Whitney Operations / CSY,1,1970,1970,CARIB 41
Wibo van Wijk (NL),1,1969,1969,WIBO 830
Widholms Industries (SWE),1,1980,1980,BEASON 36
Wilbur Ketcham (USA),1,1935,1935,NARRASKETUCK
Wilderness Boat Works (USA),2,1978,1979,WILDERNESS 30
Wilgate Ltd. (UK),1,1962,1962,BUCCANEER (STADT)
William Chamberlain,1,1916,1916,BAYBIRD
William King & R. Stone (UK),1,1932,1932,ROYAL BURNHAM ONE-DESIGN
Wilmette Boat works,1,1983,1983,WILMETTE 5.0
Wind Products (USA),1,1971,1971,SKIMMER 45 ICEBOAT
Windboats (UK),1,2015,2015,GT35
Windelo Catamarans (FRA),1,2021,2021,WINDELO 50
Windrider (USA),2,2002,2002,WINDRIDER 17
Windrider Systems (USA),1,1998,1998,WINDRIDER RAVE (TRI-FOILER)
Windrush Catamarans (AU),1,1976,1976,WINDRUSH 14
Windship  Marine(CAN),1,1974,1974,TRUE NORTH 34
Windship Yachts (USA),1,1989,1989,WINDSHIP 60
Windsor Brothers (UK),1,1977,1977,YCA 29
Windward Boatworks (USA),1,1950,1950,M-16 SCOW
Windward Marine (USA),1,1979,1979,SEARAKER 28
Windward Marine Ltd. (CAN),2,1970,1973,WINDWARD 30
Winfield & Partners/Aquafibre (UK),1,1968,1968,S&S 34
Winga Marin (SWE),2,1975,1982,WINGA 29
Winga Marine (SWE),1,1976,1976,WINGA 78
Winner Yachts,2,2009,2013,WINNER 12.20
Witness Catamarans (USA),1,1981,1981,WITNESS 35
Wood & McClure (USA),1,1917,1917,LARCHMONT O CLASS
Woodnutt & Co (UK),1,1922,1922,SUNBEAM ONE DESIGN
Woodnutt & Co. Ltd. (UK),1,1921,1921,SEAVIEW MERMAID
Worldcruiser Yacht Co,1,1981,1981,WORLDCRUISER 50
Worth (TAIWAN),1,1982,1982,WORTH 40
Wright Yacht Co./Allied Boat Co. (USA),1,1977,1977,WRIGHT 40 (ALLIED)
Wright/Allied Yachts (USA),2,1973,1980,PRINCESS 36 MKII (ALLIED)
Wrighton Yachts (FRA),3,1985,1995,BI-LOUP 77
WUXI Shipyard (China),1,1973,1973,PERRYWINKLE DINGHY
Wyliecat (USA),1,1999,1999,WYLIECAT 17
X Yachts,1,1992,1992,IMX-38
X Yachts (DEN),7,1984,2013,X-119
X-Yachts,2,1987,2022,X-452
X-Yachts (DEN),9,1982,2020,X-342 MH
X-yachts (DEN),1,2023,2023,X4⁹-2
Xquisite Yachts (US/Bahamas)/Phoenix Marine (South Africa),1,2023,2023,XQUISITE 30 SPORTCAT
Xtreme Sailing Products,1,2005,2005,SKUD 18
Yacht Constructors Inc./Cascade Yachts (USA),4,1964,1978,CASCADE 42
Yacht Haven Ltd. (UK),1,1962,1962,HUSKY 24 MS
Yacht Service,1,2008,2008,MAK7
Yachtbau-Lütje (GER),1,,,LÜTJE 52
Yachtcraft (USA),1,1976,1976,YACHTCRAFT 32
Yachten Polska,1,2000,2000,ODIN 820
Yachting France,1,1969,1969,CALIFE 23
Yachting France (FRA),10,1969,1985,JOUËT 32
Yachtwerks (GER),1,1983,1983,VOIDOID V
Yachtworks (AUS),1,1980,1980,CASTLE 550
Yachtworks (AUSTRALIA),1,1980,1980,CASTLE 650
Yamaha,4,1976,1979,YAMAHA 30-2
Yamaha (JAP),1,1980,1980,YAMAHA 28
Yamaha Motor Co. Ltd. (JAP),2,1975,1983,YAMAHA 37
Yankee Yachts (USA),1,1968,1968,MINUTEMAN
Yankee Yachts Inc. (USA),6,1970,1974,YANKEE 30 MKII 98+
Yorktown Marine Corp (USA),1,1974,1974,YORKTOWN 35
Young Sun (TAIWAN),2,1978,1980,YOUNG SUN 43
Youth Adventure Inc./Puget Boat Mfg (USA),1,1957,1957,SEA SCOOTER
Zaadnoordijk,1,1974,1974,COMPROMIS 850
Zaadnoordijk Watersport (NED),7,1965,2010,COMPROMIS 620
Zap Marine (USA),1,1978,1978,ZAP 29
Zim Sailing (USA),2,1952,2010,ZIM 15
Zonda Yachts (ARG),1,2025,2025,Z33
