builder_raw,model_rows,first_year_min,first_year_max,sample_model
Ta Yang Yacht Building Co. (TAIWAN),6,1982,2003,TAYANA 65
Tabasco Marine (FIN),1,1984,1984,TABASCO 26
TaChiao/Rawson (USA),1,1970,1970,TRAVELLER 32
Tanzer Industries (CAN),1,1964,1964,OVERNIGHTER 16
"Tanzer Industries Ltd, (CAN)",1,1986,1986,TANZER 25
Tanzer Industries Ltd. (CAN),5,1963,1986,TANZER 22
Tao-Yuan Boatyard (TAIWAN),1,1975,1975,ROUGHWATER 33
Targa Yachts (FIN),2,1975,1980,TARGA 101
Tartan,1,2008,2008,TARTAN 4300
Tartan Marine,4,2010,2020,TARTAN 455
Tartan Marine (USA),11,1972,1996,TARTAN 34-2
Tashing,1,1983,1983,PANDA 34
Tasman Yachts (NZ),1,1976,1976,MONARCH 17 (NZ)
Tayana,1,1982,1982,VANCOUVER 42
Taylor (ESP),1,1977,1977,CIRRUS 3/4 TON (FRERS)
Ted Hermann's Boat Shop,1,,,HERMANN 19
Teksoglass (SWE),1,1964,1964,S&S 40 (1964)
Teliga Yachts (POL),1,1988,1988,TELIGA 20
Tes Sailboats (POL),1,2008,2008,TES 678 BT
Tes Yachts (Pol),2,2001,2017,TES 550 MASTER
Texas Marine Industries (USA),2,1980,1981,TMI 26
Texas Marine International (USA),1,1979,1979,TMI 30
Thames Marine (UK),5,1962,1979,SNAPDRAGON 670
Thames Marine/Walsh Wakefield Ltd.(UK),1,1977,1977,MIRAGE 28 (FELTHAM)
The Anchorage/Dyer (USA),1,1937,1937,MARLIN 18 (RHODES)
The Landing School (USA),1,2009,2009,LANDING SCHOOL 30
The Marshall Company (USA),1,1972,1972,MARSHALL 26
The Multihull Centre (UK),1,2010,2010,DAZCAT 1195
The Rainbow Company (USA),1,1963,1963,WOLVERINE 28
The Willard Company (USA),1,1973,1973,WILLARD 30/8T
Thomas Marine Inc./Tartan Marine (USA),1,1988,1988,THOMAS 35
Thorkild Lind,1,1974,1974,DUET 25
Ticon Yachts Ltd. (CAN),1,1983,1983,TICON 34 CB
Tidewater Boats (USA),1,1964,1964,MUSTANG 17
Tidewater Boats Inc. (USA),1,1970,1970,ANNAPOLIS 26 (HOLMES)
Tillotsen Pearson (USA),1,1985,1985,NAVY 44 (M&R)
Tillotson Pearson (USA),1,1995,1995,1D 48
"Tillotson Pearson Inc, (USA)",17,1976,1997,ALERION EXPRESS 38
Tiwal,2,2018,2026,TIWAL 2XL
Tom Lack Catamarans (UK),1,1975,1975,CATALAC 9M
TomCat Boats (CAN),2,2004,2004,TOMCAT 9.7
Top Sail Yachts Inc. (USA),1,1979,1979,AQUARIUS 24 PILOT CUTTER
Topaz/Topper International,1,2012,2012,TOPAZ 12C
TOPCAT GmbH (GERMANY),4,1978,2005,TOPCAT F1/F2
Topper Int./Parker Yachts (UK),1,1993,1993,BULL 7000
Topper International,3,1994,2012,BUZZ
Topper International (GB),1,1998,1998,BLAZE X
Tor Yachts Ltd. (JAP),1,1961,1961,TOR 40
Tosca Marine (SA),1,1979,1979,TOSCA 36
