builder_raw,model_rows,first_year_min,first_year_max,sample_model
Salona Yachts/A D Plastic (CRO),1,2003,2003,SALONA 40
Salona Yachts/AD Plastic (CRO),1,2005,2005,SALONA 45
Salt Marine/Tangerine Sailboat Co.(USA),1,1977,1977,TANGERINE 18
Salty Yachts Ltd. /Colvic Craft,2,1978,1978,SALTY DOG 27
Sam L. Morse Co./Cape George Marine Wrks. (USA),1,1976,1976,BRISTOL CHANNEL CUTTER
Sandstream Yachts,2,1974,1987,SANDSTREAM 540
Sandwich Yacht (UK),1,1970,1970,TELSTAR 8M
Santa Cruz Yachts (USA),2,1985,1992,SANTA CRUZ 52
"SARA, Anglesey Ltd, (GBR)",1,1962,1962,SARO SCIMITAR
Sarch Boats (ESP),1,2017,2017,SARCH S7
Scandi Yacht (FIN),1,1992,1992,SCANDI 52
Scandia Boatyard (SWE),1,1957,1957,SKI-BREEZE
Scandinavia Yachts,1,2016,2016,SCANDINAVIA 27
Scandinavia Yachts (Pol),1,2016,2016,SCANDINAVIA 30
Scanyacht AB (SWE),2,1987,2001,SCANNER 361
Sceptre Yachts Ltd. (CAN),2,1978,1995,SCEPTRE 36
Sceptre Yachts Ltd. /Nordic Yachts (USA),1,1982,1982,SCEPTRE 41
Scheel Marine (USA),1,1975,1975,CARTER 3/4 TON
Schoechl Sportbootswerft (AUS),1,1992,1992,SUNBEAM 44
Scholtz Marine (SOUTH AFRICA),1,1995,1995,SOVEREIGN 51
Schöchl Werft (AUST),1,1964,1964,SUNBEAM 22
Schöchl Yachtbau,5,1979,2002,SUNBEAM 25
Schöchl Yachtbau (AUS),2,1989,1989,SUNBEAM 32
Schöchl Yacthbau,2,1996,2009,SUNBEAM 42 DS
Scorpio Yachts (CAN),1,1983,1983,KIRBY 36
Sea Crown Marine (USA),1,1980,1980,CROWN 25 (SCHUMACHER)
Sea Island Boatworks (USA),1,1947,1947,SEA ISLAND ONE-DESIGN
Sea Nymph / McNair (NZ),1,1973,1973,FALCON 24 (S&S)
Sea Nymph Boats (NZ),1,1977,1977,FARR 6000
"Sea Nymph Boats Ltd., NZ/CBZ, IT",1,1980,1980,FARR 740 SPORT
Sea Nymph Boats/McDell Marine,1,1977,1977,FARR 5000
Sea Nymph Boats/McDell Marine Ltd. (NZ),1,1987,1987,FARR 940
Sea Nymph Yachts/Marten Marine (NZ),1,1985,1985,NOELEX 30
Seafarer,2,1972,1974,SEAFARER 29
Seafarer Yachts,8,1968,1980,SEAFARER 38C
Seafarer Yachts (USA),2,1974,1978,SEAFARER 31 MKII
Seaglass (UK),1,1975,1975,INTRO 22
Seaglass/Bowman Yachts (UK),1,1970,1970,BOWMAN 36
Seago Corp. (USA),1,1967,1967,CUB SCOW
Seair Yachts Ltd. (CAN),1,1975,1975,SEAIR 27
"Seaman Seacraft Co, Inc. (USA)",1,1955,1955,SEAMAN 30
Seamaster Ltd. (UK),2,1961,1978,SEAMASTER SAILER 925
Seaquest Yachts,1,1998,1998,PRIMA 38
"Sears, Roebuck & Co. (USA)",1,1969,1969,SURFWIND (SEARS)
Seascape,3,2008,2017,FIRST 18 SE (BENETEAU)
Seascape (SLO),1,2011,2011,SEASCAPE 27
Seastream Yachts Ltd. (UK),1,1981,1981,SEASTREAM 43
Seaward Yachts (USA),1,2005,2005,SEAWARD 26RK
Seaway Yachts/G. Baker (AUSTRALIA),1,1971,1971,CURRAWONG 30
Seawind Catamarans,2,1990,2020,SEAWIND 850
Seawind Catamarans (AUS),1,2019,2019,SEAWIND 1600
Seawolf Yachts (UK),1,1979,1979,SEAWOLF 43
Sedna Yachts (PL),1,2012,2012,SEDNA 26
See Class Association,1,1971,1971,125
Seidelmann Yachts (USA),4,1977,1981,SEIDELMANN 34
Select Yacht Group Ltd. (UK),1,2003,2003,LINK 30
Select Yachts (UK),1,1990,1990,RED FOX 200T
Sen Koh Ship Builders (TAIWAN),1,1981,1981,KINGS LEGEND 41
Sen Koh Shipbuilding (TAIWAN),1,1988,1988,NONSUCH 40
SHANGHAI FAR EAST BOATS CO,1,2012,2012,FAREAST 18R
"Shanghai Far East Boats Co., LTD",1,2010,2010,FAREAST 31R
Shannon Boat Company (USA),1,1978,1978,SHANNON 28
Shannon Yachts (USA),3,1975,1982,SHANNON 50
Sherlock Marine Ltd. /Colvic Craft,1,1990,1990,BLUEWATER 476
Shipman(SWE) Fiberman(IRE) Visby(SWE),1,1969,1969,SHIPMAN 28
Shipman/Seaway (SLOV),1,2001,2001,SHIPMAN 50
Shogun Yachts (SWE),1,2020,2020,SHOGUN 50
Sibma Naval Italiana (ITA),1,1965,1965,TIPSY
Sibma Navale Italiana,1,1972,1972,PROMENADE 72
Siddons & Sindle,1,1959,1959,NOMAD 20
Siddons & Sindle (USA),1,1963,1963,BARNEGAT 17
Sierp de Vries (NED),1,1980,1980,UFO 6M
Sigma Sailcraft Co.(USA),1,1979,1979,SIGMA 18
Sigma Yachts (UK),2,1982,1983,SIGMA 41
"Signet Marine, Ltd. Hurley Marine Ltd.",1,1960,1960,SIGNET 20
Siltala Yachts (FIN),1,1992,1992,NAUTICAT 39
Siltala Yachts (FINLAND),1,1974,1974,NAUTICAT 44
Siltronics Inc.,1,1966,1966,SEA DEVIL
Silverline Boats (USA),1,1964,1964,DOLPHIN 15 SENIOR
Sinergia Composites (ESP),1,2001,2001,SINERGIA 40
Sirius,1,1995,1995,SIRIUS 32 DS
Sirius-Werft,2,2001,2010,SIRIUS 35 DS
Sirius-Werft (GER),1,1971,1971,WARAN
Sirocco Boatworks Ltd. (CAN),1,1968,1968,SIROCCO 22
Sjaelland Rund (DEN),1,1975,1975,ELVSTROM 1/4 TON
Skimmar Boats,1,,,SEAGULL 12 (SKIMMAR)
SL Performance Race Boats GmbH,1,2008,2008,SL 33
Sly Marine (ITA),1,2012,2012,SLY 38
Small Craft Ltd.(UK)/Abbott Boats (CAN),1,1957,1957,WAYFARER
Smallcraft of Blockley (UK),3,1970,1974,SHIPMATE SENIOR
SMAP Neptune (FRA),1,1977,1977,NEPTUNE 625
Smith's Boatyard (NZ),1,1972,1972,PACIFIC 38
Snark Products (USA),1,1972,1972,WILDFLOWER
Snug Harbor Boat Works (USA),1,1981,1981,KAUFMAN 46
Sobusiak Yacht Yard (PL),1,2010,2010,FOCUS 800
Sol Catamarans Inc. (USA),2,1975,1976,SOL CAT 20
SOL Marine (SLOV),1,2010,2010,BARCHETTA 27
Solaris Yachts,1,2011,2011,SOLARIS 44
Solaris Yachts (IT),3,2017,2022,SOLARIS 55
Solaris Yachts (ITA),1,1980,1980,SOLARIS 36 (MAAS)
Solna Marine (SWE),1,1975,1975,NORLIN 34 MK II
Solus Boats (DEN),2,1971,1978,SOLUS 29
Sonata Yachts (AUS),2,1976,1986,SONATA 6.7
Sonic Sailboats Ltd. (CAN),1,1981,1981,SONIC 23
Soubise (FRA),1,1990,1990,AGRION 6.5
Sound Marine Construction Co. (USA),1,1949,1949,SOUND ONE DESIGN
South Coast Boat Building Co. (USA),1,1938,1938,RHODES 33
South Coast Fiberglass Products (USA),1,1969,1969,SAN CLEMENTE 23
South Coast Seacraft,1,1974,1974,SOUTH COAST 26
South Coast Seacraft Co. (USA),4,1965,1969,SOUTH COAST 21
South Coast Seacraft/Kenner Boat Co.,1,1972,1972,KITTIWAKE 23
South Coast Yachts (AU),1,1979,1979,SOUTH COAST 22 (MURRAY)
South Coast Yachts (AUSTRALIA),1,1976,1976,SOUTH COAST 25 (ROBERTS)
South Devon Boatbuilders (UK),1,1966,1966,SEAFIRE
South Devon Boatbuilders (UK)/others,1,1963,1963,SEAFLY
South Hants Engineering (UK),2,1970,1972,SHE 9.5 TRAVELLER
South Hants Marine (UK),2,1971,1978,SHE 27
SouthCoast Seacraft (USA),1,1978,1978,NORTHBRIDGE ECLIPSE (SOUTHCOAST)
Southerly Yachts (UK),1,2021,2021,SOUTHERLY 42/420
Southern Boat Building (UK),1,1987,1987,BOWMAN 40 (PAINE)
Southern Boatbuilding Co. (UK),1,1973,1973,RIVAL 41 CC
Southern Ocean Ltd. (UK),3,1970,1983,OCEAN 62
Southern Sails Inc. (USA),1,1982,1982,SKIPPERS MATE 17
Southern Yacht (USA),1,1973,1973,SOUTHERN 21
Sovereign (USA),1,1998,1998,SOVEREIGN 30
Sovereign Yacht Co. (USA),2,1983,1987,SOVEREIGN 28
Soverel Marine,3,1965,1976,SOVEREL 26
Soverel Marine (USA),4,1971,1985,SOVEREL 39
Spencer Boats,1,1981,1981,SUNSTAR 28
Spencer Boats Ltd.,3,1960,1968,SPENCER 44
Spindrift (USA),1,1979,1979,SPINDRIFT 15
Spindrift One Designs/Rebel Industries (USA),1,1982,1982,SPINDRIFT 19
Spirit Yachts (UK),2,2002,2021,SPIRIT 46 (McMILLAN)
Sportlake S.A./Delphia Yachts,1,1996,1996,SPORTINA 600
SQ Yachts (GER),1,2014,2014,SQ 25
St Francis Marine (RSA),1,2006,2006,ST FRANCIS 50
St. Francis Marine (RSA),2,2024,2025,ST FRANCIS 460
St. Lawrence Boat Co.,1,1897,1897,IDEM
Staem Marine / Spair Marine (FRA),1,1965,1965,PIAF
Stamas Yachts Inc. (USA),1,1981,1981,STAMAS 44
Standfast Yachts (NED),1,1973,1973,STANDFAST 36
Standfast Yachts (NL),1,1980,1980,STANDFAST 50
Starboard Yacht Co. (USA),1,1981,1981,SLIPPER 17
Starcraft Marine,2,,,SEAFLITE 12
Starwind/Wellcraft,1,1984,1984,STARWIND 27
Starwind/Wellcraft (USA),1,1980,1980,STARWIND 13.5
Step Marine/C.C. Chen Boatyard,1,1988,1988,TREKKER 38
Stephens Brothers (USA),1,1940,1940,FARALLON CLIPPER
Stephenson Sailboats (AUSTRALIA),1,1980,1980,BLAZER 23 (PETERSON)
Stirling Boats,1,1998,1998,THOMPSON 30
Stoddart Bros Marine (AU),1,1967,1967,HOOD 20
Storebro Bruk AB (SWE),1,1977,1977,STOREBRO ROYAL 33
Storebro Bruks (SWE),2,1964,1964,SEA EAGLE II (ENDERLEIN)
Storm Marine Group (USA),1,2025,2025,STORM 18 (AMES)
Storm Yacht (PL),3,2011,2017,STORM 22
Stowman Shipbuilding Corp.,1,1962,1962,KAISER 25
Strorebro Bruk (SWE),1,1957,1957,KING'S CRUISER 28
Stuart Marine; O'day (USA),1,1962,1962,MARINER 19 CB
Stuart Yachtbuilding Ltd. (UK),1,1978,1978,STUART 37
Stur-dee Boat Co. (USA),1,1986,1986,IOTA
Sudplast,1,1970,1970,FLYING TRAMP
SUDPLAST,2,1970,1971,FLYING CRUISER C
Sudplast-Werft (GER),1,1967,1967,FLYING CRUISER A
Summit Yachts (USA),1,2001,2001,KING 40
Sumner Boat Co. (USA),1,1980,1980,ISLANDS 19
Sun Yachts,2,1977,1977,SUN 838
Sun Yachts Ltd. (UK),1,1977,1977,SUNSTAR 18
Sunbeam Yachts,2,2012,2021,SUNBEAM 26.2
Sunbeam/Schöchl,1,1973,1973,GITANA
Sundowner Marine Corp./Alizé Marine,1,1982,1982,SCREAMER 12M
Sundsör’s Ship Yard(SWE)/Eggers (GER),1,1973,1973,OE 32
Sunspot Plastics Inc. (CAN),1,1972,1972,SUNSPOT
Sunward Yachts/Bennett Bros. Yachts (USA),1,1978,1978,SUNWARD 48
Surfliner Corp. (USA),1,1959,1959,MELODY 34 (HUNT)
Sven Svendsen's Boat Works(USA),1,1973,1973,COMPETITION 1000
Swallow Yachts,1,2014,2014,BAYCRUISER 26
Swanson Brothers (AUS),1,1961,1961,CARMEN 31
Swarbrick Brothers (AUS),1,1978,1978,SWARBRICK 80
Swarbrick Brothers Yachts (AU),1,1981,1981,SPACESAILER 20
Sweden Yachts,5,1981,1998,SWEDEN YACHTS 340
Sweden Yachts (SWE),1,1974,1974,COMFORT 34
Swell Catamarans (UK),1,2001,2001,SHADOW
Swift Boats Ltd./John Charnley Associates (UK),1,1981,1981,SWIFT 18
Sydkystens Bådebyggeri,1,1975,1975,TUR 84
Sydney Yachts,2,1997,1999,SYDNEY 38
Sydney Yachts (AUS),1,2005,2005,SYDNEY 39 CR
Sylvana Yachts (CAN),1,2007,2007,ANDREWS 28
T-Yachts (ITA),1,2011,2011,T-34
Ta Chaio Shipbuilding Co. (TAIWAN),3,1982,1988,CT-48
Ta Chiao Ltd. (TAIWAN),2,1983,1987,OFFSHORE 45 (TANTON)
Ta Chiao Shipbuilding Co. (TAIWAN),1,1972,1972,CT-41
Ta Shing Shipyards (TAIWAN),2,1979,1980,BABA 40
Ta Shing Yacht Building (TAIWAN),4,1978,1986,MASON 43
Ta Shing Yacht Building Ltd.,1,1983,1983,PANDA 40
Ta Shing Yacht Buildling (TAIWAN),2,1982,1988,MASON 53 KTH
Ta Yang,1,1972,1972,MARINER 36 (GARDEN) KETCH
Ta Yang (TAIWAN),2,1973,1974,FLYING DUTCHMAN 12
