builder_raw,model_rows,first_year_min,first_year_max,sample_model
Ridas Yacht,1,1996,1996,RIDAS 35
Ridas Yacht (EST),1,2003,2003,SENTIJN 37
Rinaldi (Cantiere Rinaldi),1,1996,1996,JOKER
Rinaldi (ITA),2,1993,1997,SINTESI 45
Ring Marine (UK),1,1968,1968,WEST WIGHT POTTER 14 (GUNTER-C TYPE)
Rivalbatar (SWE),1,1988,1988,SMARAGD CRUISER
Riverton Boat Works (USA),1,1979,1979,LIPPINCOTT 30
RM Yachts,1,2015,2015,RM 1070
RM Yachts (FRA),2,2008,2022,RM 1060
RM-Fora Marine,2,2012,2013,RM 1260
RM-Fora Marine (FRA),3,1993,2024,RM 1370
Rob Legg (AUS),1,1974,1974,STATUS 580
Robert Derecktor (USA),2,1953,1955,GULFSTREAM 30 (S&S)
Robert Ives (UK),1,1970,1970,BARBARY 32
Robert Ives Ltd. (UK),1,1972,1972,COASTER 33 (HILL)
Robert Ives Ltd./Moody,1,1980,1980,MOODY 379
Robert Ives/Falmouth Boat Construction,1,1974,1974,BISCAY 36
Robertson & Caine,2,2004,2011,LEOPARD 58
Robertson & Caine (RSA),1,2024,2024,LEOPARD 46 / MOORINGS 4600 (2024)
Robertson and Caine,2,2015,2015,LEOPARD 40 (2015-2020)
Rocket Boats (CAN),1,2002,2002,ROCKET 22
Ron Moore (USA),1,1970,1970,JESTER
Ron Rawson Inc. (USA),1,1960,1960,RAWSON 26
Rondar Raceboats,2,1956,2009,ALTO DINGHY
Rondar Raceboats Ltd.,2,2002,2009,K1
Rosewest (FR),1,2012,2012,CAPE COD (ROSEWEST)
Rosewest (FRA),1,2023,2023,CAPE COD 767
Ross Marine,1,1985,1985,KIRBY 23
Ross Marine (NZ),3,1981,1987,ROSS 830 SM
Rossiter Yachts Ltd.,1,1952,1952,HERON 22 (PURBROOK-ROSSITER)
Rossiter Yachts Ltd. (UK),1,1962,1962,PINTAIL (ROSSITER)
Rosättra Båtvarv AB,1,1989,1989,LINJETT 35
Royal Cape Catamarans (ZAF),2,2009,2020,MAJESTIC 530
Royal Huisman Shipyard,1,1979,1979,HUISMAN 41
Royal Sailboats Co. (USA),1,1967,1967,BUCKEYE
Royal System Yacht Yard (DEN),2,1963,1967,SAGITTA 26
RS Racing,1,2002,2002,RS FEVA
RS Sailing,4,1999,2009,RS ELITE
RS Sailing (UK),4,2010,2017,RS NEO
Ruiz Franquelo (ESP),1,1982,1982,CICLON 85
Russel Marine Ltd.,1,1969,1969,VIVACITY 24
Russel Marine Ltd. (UK),1,1965,1965,FOLKDANCER 27
Russell Marine (UK),3,1968,1975,ISLANDER 23 (WAKEFIELD)
Russell Marine Ltd. (UK),1,1975,1975,JAGUAR 22
Russell Marine Ltd. /Hurley Marine Ltd.,1,1960,1960,ALACRITY 19
Russell Yachts (USA),1,,,FALMOUTH CUTTER 26
Rustler Yachts (GBR),1,2007,2007,RUSTLER 44
Rydgeway Marine UK,2,1973,1976,PANDORA INTERNATIONAL
S&R Marine (USA),1,1976,1976,NITE ICEBOAT
S-2 Yachts,1,1980,1980,S2 8.5
S.P.B.I. (FRA),1,1964,1964,SUPER TIKI
S2 Yachts,15,1974,1985,S2 7.0
S2 Yachts (USA),3,1982,1983,S2 9.1
Saare Yachts (EST),1,2017,2017,SAARE 46 CC
Sabre Yachts,1,2002,2002,SABRE 386
Sabre Yachts (USA),8,1971,2003,SABRE 426
Sadler Yachts (UK),2,1979,1979,SADLER 32
Sadler/Starlight Rival Bowman (UK),1,1991,1991,STARLIGHT 35
Safari Marine (USA),1,1977,1977,SAFARI 37
Saffier Yachts,1,2008,2008,SE 26 (SAFFIER)
Saffier Yachts (NED),2,2002,2020,SAFFIER 8.00
Saga Marine (CAN),1,2000,2000,SAGA 35
Sail Craft Ltd. (CAN),1,1962,1962,OUTLAW 23 (MILNE)
Sail Craft Ltd. (UK),4,1968,1973,TYPHOON 25 (TRIMARAN)
Sail MFG (USA),1,1972,1972,BANDIT 17
Sailart (GER),3,1997,2020,SAILART 18
Sailcraft (CAN),1,1967,1967,TORNADO CATAMARAN
Sailcraft Ltd. (UK),2,1977,1978,COMANCHE 32 (SAILCRAFT)
Sailcrafter (USA),1,1977,1977,SAILCRAFTER 32
Sailcrafter Yachts (USA),1,1972,1972,SAILCRAFTER 28
Sailcrafter/Columbia Yachts (USA),1,1971,1971,SAILCRAFTER 50
Sailstar Boats (USA),3,1960,1966,LITTLE BEAR (SAILSTAR)
Sailstar Boats/Bristol Yachts (USA),1,1966,1966,CORINTHIAN 19 (ALBERG)
Salona Yachts,2,2015,2020,SALONA 46
Salona Yachts (AD Boats Ltd.),1,2011,2011,SALONA 44
