builder_raw,model_rows,first_year_min,first_year_max,sample_model
Drifter Marine (USA),1,1980,1980,DRIFTER 17
Dromor Yachts,1,1989,1989,VENUS 16
Dromor Yachts (GRE),2,1983,1986,DROMOR 26
Dufour,14,1971,2017,DUFOUR 2800
Dufour (FRA),20,1964,2020,DUFOUR 36P
Dufour Yachts,9,2005,2020,DUFOUR 40
Dufour Yachts (FRA),6,1975,2024,DUFOUR 41-2
Dufour Yachts S.A. (FRA),1,1995,1995,DUFOUR CLASSIC 35
Dullia (ITA),2,1976,1977,DULLIA 30
Duncan Sutphen Inc. (USA),2,1961,1964,DC-14
Dupuy Chautard (FRA),2,1961,1962,DUO
Durbeck's Inc. (USA),2,1974,1977,DURBECK 46 (D-46)
Dutch Craft,1,1968,1968,MILO JOY 22
Dyer Boats (USA),1,1934,1934,DYER DINK
Dynamique - Dufour Sparks (FRA),2,1986,1987,DYNAMIQUE 58
Dynamique Yachts,1,1980,1980,DYNAMIQUE EXPRESS 44
Dynamique Yachts (FRA),1,1982,1982,DYNAMIQUE 63
D’este (ITA),1,1938,1938,CHIGGIATO 27
E Sailing Yachts(USA),1,2006,2006,E33
E. G. van de Stadt,1,1967,1967,TROTTER PANDORA
E. G. van de Stadt (NED),1,1954,1954,HOLIDAY 24 (SAILOR)
E. Richard (FRA),1,1961,1961,CHASSIRON CF
East Coast Yachts (AUS),1,1974,1974,EAST COAST 31
Easterly Yachts (USA),1,1976,1976,EASTERLY 36
Eastsail Yachts (USA),1,1984,1984,EASTSAIL 25
Ed Hoppen/Eddon Boat Yard/Ranger Boats,1,1960,1960,MINTO
Edel,1,1980,1980,EDEL 760 (740)
Edel (FRA),5,1961,1985,EDEL 2
"Edel (FRA), Edel (CAN)",1,1974,1974,EDEL 5 (540/545)
Eden Boat Works (USA),1,1945,1945,EVERGREEN (RHODES)
Edey & Duff,1,1977,1977,LADY SLIPPER
Edey & Duff (USA),1,1978,1978,DOVEKIE
Edgecomb Marine Group (USA),1,1992,1992,CARRERA 290
Edgewater Boats (USA),1,2009,2009,SUMMIT 35
Eggel & Co. (SWE),1,1976,1976,BIRDIE 24
Eichenlaub Boat Co. (USA),1,1973,1973,PETERSON 25 1/4 TON
Eista Werf (NL),1,1974,1974,ROGGER 35
EISTA WHARF,1,1970,1970,KRAMMER 700
El Mar Boat Co. (USA),1,1975,1975,SUNDANCE 23
El-Mar Boat Co. (USA),2,1972,1973,SUNDANCE 13
Elan,1,1999,1999,ELAN 362
Elan (SLOV),4,1989,2012,ELAN 350
Elan Marine,1,1982,1982,ELAN EXPRESS
Elan Marine (SLO),2,2005,2009,IMPRESSION 434 (ELAN)
Elan Marine (SLOV),5,1983,2003,ELAN 37
Elan Marine (SVN),2,1987,2009,ELAN 310
Elan Marine (YU),1,1991,1991,ELAN 34
Elan Yachts,4,2011,2017,ELAN 210
Elan Yachts (SLO),3,2019,2023,IMPRESSION 43 (ELAN)
Elan yachts (SLO),2,2020,2026,ELAN SIXTYFIVE
Element 6 Evolution Co LTD (THA),1,2024,2024,SWITCH ONE DESIGN
Elite Yachts (FRA),1,1983,1983,ELITE 64
Elliott Marine,1,1994,1994,ELLIOTT 770
Elliott Type Yachts/Eagle Yachts,1,1981,1981,ELLIOTT 10.5
EM Yachts (POL),1,2005,2005,HUZAR 30
Emsworth Marine (UK),1,1974,1974,BOWMAN 40 (LAURENT GILES)
Endeavour International Corp. (USA),1,1998,1998,ENDEAVOURCAT 30 MKII
Endeavour Yacht Corp. (USA),8,1976,1990,ENDEAVOUR 40
Endeavour Yachts (USA),2,1990,1994,MANTA 40
Ericson  Yachts (USA),1,1966,1966,ERICSON 26 (CREALOCK)
Ericson Yachts (USA),22,1966,1988,ERICSON 35-1
Ernst Hatecke (GER),1,1972,1972,HORNET 32
Escape Sailboat Co.,2,2000,2000,SOLSA (ESCAPE)
Essence Yachts (NL),1,2010,2010,ESSENCE 33
Essex Co. (USA),1,1972,1972,ESSEX 26
Etap (BEL),1,1988,1988,ETAP 28i
Etap Yachting,3,1998,2009,ETAP 30cq
Etap Yachting (BEL),10,1974,2009,ETAP 20
Evasion Sailboats (CAN),1,1978,1978,KIRBY 8M
Evolution Yachts Ltd,1,1980,1980,EVOLUTION 30
Excel Yachts (SWE),1,1991,1991,EXCEL 32
Excess,2,2019,2019,EXCESS 15
Excess Catamarans (FRA),2,2022,2025,EXCESS 13
Exe Fibercraft (CAN),1,1975,1975,NORDICA 16
F. Rice (USA),1,1951,1951,LAPWORTH 32
F1 Glass Dev. Ltd.(UK),1,1960,1960,MEDUSA 25
Fabola AB,1,1984,1984,FABOLA CAMPUS 600
Fabola Boats (SWE),3,1983,1992,DIVA 35
Fabola Yacht,1,2007,2007,DIVA 35-2
Fabola Yachts (SWE),2,2012,2012,CAMPUS 7.4
Fairey Allday Ltd. (UK),1,1978,1978,MISTRAL 31
Fairey Marine (UK),2,1955,1959,TITANIA 26
Fairey Marine (UK) Columbia Yachts (USA),1,1950,1950,JOLLYBOAT
Fairey Marine Ltd.,1,1952,1952,DUCKLING
Fairlite Plastics/East Coast Yachts (AUSTRALIA),1,1966,1966,CLANSMAN 30
Fairways Marine (UK),2,1970,1974,NORTHEASTER 30
Fairways Marine Ltd.(UK),1,1970,1970,MYSTERE 26
Fairways Marine/Northshore Yachts Ltd (UK),2,1974,1974,FREEWARD 25
Fairways Marine/Northshore Yachts Ltd. (UK),1,1978,1978,FISHER 34 MS
Fales Yachts (USA)/Pearson Yachts,1,1974,1974,FALES 32 NAVIGATOR
Fales Yachts/Alden Yachts (USA),1,1978,1978,FALES 38 EXPLORER
Far East Boat Co. (CHINA),1,2005,2005,FAREAST 11
Far East Yachts (JAP),2,1964,1970,MARINER 32
Farrier Marine (NZ),1,2014,2014,F-22
Farsoe Glasfiber (DEN),1,1985,1985,MOSQUITO 104
Farsø Glasfiber (DEN),1,1986,1986,RAINBOW 42
Fassmer Shipyard/Bölte Shipyard,1,1971,1971,FÄHNRICH 34
Fast Yachts (BRA),1,1983,1983,FAST 345 T
Fast Yachts (SA),1,2002,2002,FAST 42
Fastback Catamarans,2,1987,1987,FASTBACK 30
Faurby Yacht (DEN),1,1979,1979,ATALANTA 30 (DEN)
Faurby Yachts (DEN),6,1989,2014,FAURBY 330
FF Boats/Vels Jachtbouw,1,1991,1991,FF110
Fi-Craft / Cox Marine Ltd.  (UK),1,1972,1972,VALIANT 18
Fibago Italia (ITA),1,1975,1975,FIBAGO CX
Fiberglas Technik (GER),1,1968,1968,CONGER
Fibreglass Industries,1,1970,1970,NOMAD 20 (AUS)
Fibå-vene (FIN),1,1983,1983,FINN EXPRESS 64
"Field & Co., Ltd (UK)",1,1898,1898,YORKSHIRE ONE-DESIGN
Fillip Manufacturing (USA),1,1969,1969,STARFISH
Fillip Mfg. Co. (USA),2,1967,1967,VIPER (FILLIP)
Finn Flyer (FIN),1,2006,2006,FINN FLYER 32 CR
Finngulf,3,2003,2004,FINNGULF 37
Finngulf (FIN),1,1983,1983,INFERNO 31
Finngulf Marine (FIN),1,1982,1982,FINNGULF 39
Finngulf Yachts,5,1982,2008,FINNGULF 28E
Finnyacht,1,1986,1986,FINNYACHT 381
Fisher Boat Co./Neil Marine,1,2012,2012,YARMOUTH 22
Fisher Boat Works/T. Knutson (USA),1,1945,1945,PILOT 33
Fisher Brothers /Knudson (USA),1,1946,1946,FISHER PILOT 33
Fiskars,2,1976,1978,FINNFIRE 33
Fiskars (FIN),1,1969,1969,FINNSAILER 35
Fisksätra (SWE),1,1965,1965,HAVSFIDRA
Fisksätra Shipyard,1,1975,1975,DEBUTANT
Fisksätra Shipyard (SWE),1,1975,1975,SWEDE 55
Fisksätra Varv,1,1973,1973,S 30 (REIMERS)
Flaar Performance Sailing (HUN),3,2012,2022,FLAAR 26
Florida Bay Boat Co. (USA),1,1981,1981,MUD HEN
Florida Bay Boat Company(USA),1,1981,1981,PEEP HEN
Flying Eagle Boat Co. (CHINA),1,2003,2003,PIXEL
Flying Scot Inc.,1,1958,1958,FLYING SCOT
Foily (FRA),1,2021,2021,PEACOQ
Fomula Yachts/C&C Yachts (USA),1,1983,1983,EVELYN 32
Force Engineering (USA),1,1976,1976,STILETTO 27
Formosa Boat Building Co. Ltd.,1,1972,1972,FORMOSA 30
Formosa Boat Building Co. Ltd. (TAIWAN),1,1980,1980,FORMOSA 47
Formosa Yachts,3,1972,1980,PETERSON 46
Formula Catamarans/Boston Whaler (USA),1,1980,1980,SUPERCAT 20
Formula Sailcraft (AUS),1,1975,1975,IMPULSE DINGHY
Formula Yachts (USA),2,1980,1981,EVELYN 26
Fortuna Catamarans (South Africa),2,1998,2003,ISLAND SPIRIT 40
Fountaine Pajot,6,1990,2021,ASTRÉA 42
Fountaine Pajot (FRA),5,1994,2026,ISLA 40
Fountaine Pajot Catamarans (FRA),1,2002,2002,LAVEZZI 40
Fountaine-Pajot (FRA),5,1983,2010,CASAMANCE 45
Frans Maas/Chantiers Vanek (FRA),1,1967,1967,TINA (CARTER)
Frans Maas/Standfast,1,1972,1972,STANDFAST 40
Frauscher (AUSTRIA),1,1988,1988,H26
Freedom Yachts (USA),1,1993,1993,FREEDOM 35 (PEDRICK)
Freedom Yachts Ltd. (USA),1,1984,1984,PIERCE ARROW 31
Freedom Yachts/Pearson Yachts USA,1,1999,1999,INDEPENDENCE 20
Freighter Industries (AUS),1,,,BELLBOY 17
French Bros. /Seamaster (UK),1,1961,1961,CRYSTAL 23
Frers & Cibils (ARG),2,1973,1987,F&C 40
Fricke & Dannhus (GER),2,1980,1980,HD 20
Fricke & Dannhus GmbH & Co KG (GER),2,1969,1969,SEEZUNGE A
Friendship Yachts,2,1973,1978,FRIENDSHIP 23
from plans,2,1974,1984,MINI (POLAND)
From Plans,1,2009,2009,RANDONNEUR 800
from plans for amateur builder,2,1933,1975,FIGARO 5 (HERBULOT)
Ft. Myers Yacht & Ship (USA),1,1983,1983,BREWER 12.8
Ft. Myers Yacht & Shipbuilding (USA),1,1984,1984,BREWER 44
Fuji Yacht Builders (JAP),2,1973,1976,FUJI 45
Furia Yachts,2,1985,1988,FURIA 26
Furia Yachts (ESP),1,1988,1988,FURIA 1000/1040
Fusion Sailboats (Ont. Canada),1,2000,2000,FUSION 15
Fyne Boat Kits (UK),1,1961,1961,SIGNET (PROCTOR)
G-Force Yachts (NED),1,2004,2004,X-TREME 37
G. A. Feltham (UK),1,1931,1931,SEAVIEW ONE-DESIGN
G. de Vries Lentch Jr.(NED),1,1963,1963,SEAFARER 23 KESTREL (CRUISE)
G. de Vries Lentch Jr./Seafarer Yachts,1,1960,1960,MERIDIAN 25 (SEAFARER)
G. Drummond-Bayne Ltd.(UK),1,1973,1973,ITCHEN FERRY 25
G. G. Bådeværft (DEN),1,1983,1983,DRABANT 38
G. Lawley/Rice Brothers (USA),1,1911,1911,NORTHEAST HARBOR A CLASS
G. Prout & Sons Ltd. (UK),1,1970,1970,SNOWGOOSE 35 (PROUT)
G. Van Wijk (NL),1,1972,1972,WIBO 930
Gade Marine Plastics (GER),2,1966,1976,ATLANTIC 23 (GADE)
Gaffers & Ludders (UK),1,1968,1968,HEARD 28
Gannon Yachts (USA),1,1982,1982,SONOMA 30
Garaghty Marine (USA),1,1982,1982,GERAGHTY 41
Garcia Yachting (FRA),1,1986,1986,PASSOA 46/7
Garcia Yachts (FRA),1,2022,2022,EXPLORATION 60 (GARCIA)
Garder Marine Ltd.(UK)/Trident Marine,1,1969,1969,WARRIOR III (PRIMROSE)
Garrett Marine,2,1983,1983,GARRETT 40 GPR FR
Garrett Marine (USA),1,1982,1982,GARRETT 36
Gavia Yachts,1,1990,1990,NORLIN MARK III (2.4 METER)
Gemico/Inter-Marine Corp,1,1970,1970,CHIPMUNK
Gemini Catamarans (USA),1,2017,2017,GEMINI FREESTYLE 37
General Boats Corp./Lofland-Sailcraft (USA),1,1959,1959,PICNIC 17
George Lawley & Sons (USA),1,1911,1911,EASTERN YACHT CLUB 17
George Lawley (USA),1,1938,1938,WEEK-ENDER (S&S)
George Mottle (AUSTRALIA),1,1975,1975,MOTTLE 33
George Riberio Products/Miniature Marine (USA),1,1995,1995,WHEELER (RC MODEL)
George Shiverick/George Chaisson (USA),1,1925,1925,DUXBURY DUCK
George Stead Yachts (UK),1,1974,1974,EXTENSION 24
Gesten Glasfiber Bådeværft (DEN),2,1981,1984,GRANADA 28
GIB'SEA,1,1993,1993,GIB'SEA 234
Gib'sea (FRA),2,1986,1994,GIB'SEA 414
Gib'sea / Dufour,1,1988,1988,GIB'SEA 312
Gibbs Boat Co./Alleman Enterprises (USA),1,1963,1963,SHARK CATAMARAN
Gibert Marine (FRA),4,1974,1980,GIB'SEA 31
Gilbert Marine,2,1975,1982,GIB'SEA 84
Gilbert Marine (FRA),13,1970,1995,GIB'SEA 352
Gilmax Ltd. (UK),1,1978,1978,MAXFLI 28
GJ Tech (AU),1,1985,1985,VAN DE STADT 7.1
Glander Boats Inc. (USA),2,1960,1961,SEMINOLE
Glas Laminates (USA),1,1963,1963,COLUMBIA 5.5
Glass Laminates/Columbia Yachts (USA),1,1962,1962,COLUMBIA 24 CHALLENGER
Glass Yachts NZ,1,1983,1983,RAVEN 26
Glassline Products. Inc. (USA),1,1979,1979,GLASSLINE 22
"GlasTec Products (Cleveland, OH, USA)",1,1973,1973,JESTER 12
Glastron (USA),2,1977,1978,SPIRIT 21 (6.5)
Globe Yacht Corp. (TAIWAN),1,1978,1978,GLOBE 38 (GY 38)
Gloucester Yachts Inc. (USA),2,1983,1987,GLOUCESTER  19
Golden Hind Marine/Newson Boatbuilders,2,1968,1992,GOLDEN HIND 31
Goman Boat/Express Yachting (USA),1,1981,1981,EXPRESS 30 (KILLING)
GoodWood Boat Co. (UK),1,1913,1913,INTERNATIONAL 12 FOOT DINGHY
Gougeon Bros.,1,1990,1990,GOUGEON 32
Gouteron,1,1967,1967,SUPER SIMOUN 800
Gouteron (Chantier) (FRA),1,1973,1973,ELVSTROM 32
Gouteron (FRA),1,1973,1973,CHERGUI
Grabner (AUT),3,2006,2017,HAPPY CAT ULTRALIGHT
"Grabner GmbH, Austria",1,2025,2025,HAPPY CAT STAR
Grampian Marine,2,1955,1969,FLYING TERN
Grampian Marine Ltd. (CAN),7,1963,1975,CLASSIC 37 (GRAMPIAN)
Grampian/US Yachts,1,1968,1968,US 46
Granada Yachts (DEN),4,1977,1987,GRANADA 30
Granada Yachts A/S (DEN),1,1983,1983,GRANADA 808
Grand Harbour Yachts (TAIWAN),1,1988,1988,STEVENS 42
