builder_raw,model_rows,first_year_min,first_year_max,sample_model
Dawson Yacht Corp. (USA),1,1973,1973,DAWSON 26
De Dood (GER),1,1946,1946,DATER (RHODES)
De Noord/N. V. Werf Gusto(NED)/Sailmaster (FRA),1,1963,1963,SAILMASTER 22
de Visser (Holland),1,1960,1960,RHODES RANGER 29
Dean Catamarans (RSA),1,1995,1995,DEAN 400
DeDood and Sohn Yacht und Boatwerks (GER),2,1960,1965,INTERNATIONAL 600
Degerö Yachts (FIN),1,1981,1981,DEGERÖ 28 MS
Dehler,11,1979,2015,DEHLER 34-3
Dehler (DEU),1,1983,1983,DEHLER 22
Dehler (GER),10,1968,2019,VARIANTA
Dehler (GER)/Brighton Yachts (CAN),1,1977,1977,SPRINTA SPORT
Dehler Yachts (GER),3,1979,1996,DUETTA 86 (DEHLER)
Dekker & Sons (NL)/EDOR,2,1969,1971,DEFENDER 27
Delphia Yachts,4,1999,2012,DELPHIA 31
Delphia Yachts (POL),5,2008,2011,DELPHIA 28
Delta Yacht Construction (UK),1,1971,1971,DELTA 94
Deltania Yachts,1,2006,2006,DELTANIA 25 S
Deltania Yachts (GER),3,2006,2020,DELTANIA 22
Dencho Marine (USA),2,1985,1985,DENCHO 30
Dencho Marine Inc. (USA),1,1979,1979,CHOATE 48
Dennis Choate Sailboats (USA),2,1980,1986,ANDREWS 42
Deschamps Boat Yard (USA),1,1960,1960,CHEETAH-CAT
Dever Bootswerft / Friendship yachts (NL),1,1982,1982,FRIENDSHIP 21
Devoti Sailing (CZ),1,2011,2011,D-ONE
Dick Rus Jachten B.V,1,1987,1987,WINNER 9.50
Dickerson Boat Builders (USA),2,1965,1981,DICKERSON 35
Dickerson Boatbuilders (USA),3,1968,1983,DICKERSON 50
Dickerson Yachts (USA),1,1958,1958,DICKERSON 35 (WHITTHOLZ)
Dickerson/Seidelmann,1,1977,1977,CHESAPEAKE 30
Dinghy Sports (AUS),1,1964,1964,FLYING ELEVEN
Discover Yachts,1,2017,2017,SOUTHERLY 540
Discovery Yachts,2,2000,2015,DISCOVERY 55
Dixon Kerly Ltd. (UK),1,1955,1955,QUEEN BEE 28
DK Yachts,1,2002,2002,DK 46
Dock Plastics (UK),1,1966,1966,SANTANDER 30 (TRIPP)
Dockrell Yachts Ltd. (UK),2,1975,1980,DOCKRELL 17
Dorrance McClure (USA),1,1942,1942,PACIFIC 14
Douglas Marine Craft (CAN),1,1967,1967,DOUGLAS 31/32
Down East Yachts,1,1974,1974,DOWNEASTER 38
Down East Yachts (USA),1,1976,1976,DOWNEASTER 45
DownEast Yachts (USA),1,1975,1975,DOWNEASTER 32
Dresport (ESP),1,1987,1987,FURIA 44
