builder_raw,model_rows,first_year_min,first_year_max,sample_model
Corsair Marine,2,2012,2019,CORSAIR 880
Corsair Marine (USA),5,1986,2007,CORSAIR 28
Corsair Sailcraft Corp.  (USA),1,1974,1974,CORSAIR 23 (PAYNE)
Costantini (FRA),2,1953,1970,LUTH
Costruzioni Marittime Comar (ITA),3,1982,1985,COMET 1050
Court Yachts (AUS),1,,,COURT 650
Covic Craft / Ardleigh Lam. Plastics,1,1972,1972,COLVIC CRAFT 31
CR Yachts (SWE),8,1997,2023,CR 390
Crawford Boat Building (USA),1,1989,1989,MELONSEED
Creekmore (USA),1,1981,1981,CREEKMORE 45
Creekmore Boats (USA),1,1984,1984,CREEKMORE 30-2
Crosby Yacht Building and Storage Co. (USA),1,1921,1921,WIANNO JUNIOR
Crown Marine (FIN),1,1984,1984,CROWN 39
Crown Marine SA,1,1983,1983,OE 38
Crus Yacht (IT),1,2009,2009,TRUC 18
CSY,2,1977,1987,CSY 505
CSY Yacht Corp.,1,1977,1977,CSY 44 (MID-COCKPIT)
Custom Fiberglass Products  (USA),5,1980,1982,SOVEREIGN 17
Customflex (USA),3,1932,1969,COMET OD (USA)
"Cygnus Marine, Western Approaches Yachts (UK)",1,1990,1990,SOVEREIGN 40
D. Blundell / Export Yachts Ltd. (NZ),1,1981,1981,DAVIDSON 35
D. Stone & Sons (UK),1,1927,1927,BRIGHTLINGSEA ONE DESIGN
Dalpol Yacht,4,2007,2013,PHOBOS 19
Dane-Craft (USA),1,1968,1968,INTERDANE 404
Dantec Marine (DEN),1,1978,1978,BOHEME 10M
Dash Manufacturing Co.,1,1943,1943,NAPLES SABOT
Dash Marine Industries (USA),1,1981,1981,DASH 34
Dave Blundell/Export Yachts (NZ),1,1975,1975,DAVIDSON 28
David Cheverton & Partners(UK),2,1957,1959,CRUSADER 27 (CHEVERTON)
David Garrard Yacht Builder (UK),1,1979,1979,SMOKEY 25
David Heritage Racing Yachts,1,1966,1966,ETCHELLS CLASS
David Hillyard Yachts (UK),1,1988,1988,MOONFLEET 36
David Sadler (UK),1,1990,1990,STARLIGHT 39
Davis & Oberg (USA),1,1983,1983,D'BERGE 36
