builder_raw,model_rows,first_year_min,first_year_max,sample_model
New Japan Yacht Co. Ltd.,3,1982,1997,ESPRIT DU VENT
New Orleans Marine (USA),1,1979,1979,SERENDIPITY 43
New Orleans Marine/Competition Marine Ltd.,1,1975,1975,KIRBY 1/4 T
Newbridge Boats,1,1963,1963,CRACKSMAN 20
Newbridge Boats Ltd.,1,1977,1977,NAVIGATOR (NEWBRIDGE)
Newbridge Boats/N.B. Yachts Ltd. (UK),1,1971,1971,VIRGO VOYAGER
Newbridge Yachts Ltd.  / Leisurecraft (UK),1,1965,1965,TOPAZ (NEWBRIDGE)
Newbridge Yachts Ltd. (UK),1,1974,1974,SPINNER 28 (NEWBRIDGE)
Newport Boats (USA),3,1966,1972,BULLET 14
Newport Boats/New Design Sailboats (USA),1,1965,1965,SKIPJACK 15
Nicanders Batvarv (SWE),1,1999,1999,CB 365
Nicanders Batvarv AB (SWE),1,2012,2012,NICANDER 40
Nicanders Båtvarv (SWE),1,2010,2010,MF-BOAT
Nicholson,1,1934,1934,VICTORY (COWES)
Nick Truman Yachts (UK),1,1978,1978,TRUMAN 30
Nimble Boat Works (USA),1,1998,1998,NIMBLE KODIAK 24
Nimble Boats (USA),2,1988,1989,NIMBLE 25 ARCTIC
Nordborg Baadebyggeri (DEN),2,1985,1991,NORDBORG 33
Nordcantieri (ITA),2,1972,1974,MANIA 35
Nordic,1,1982,1982,NORDIC 40
Nordic Yachts (USA),1,1988,1988,NORDIC 45 RS
Nordic Yachts Inc.,1,1980,1980,NORDIC 44
Nordic Yachts/Uniflite/Valiant Yachts,1,1978,1978,VALIANT ESPRIT 37
Nordic/Uniflite,1,1977,1977,VALIANT 37
Nordica Yachts/Exe Fibercraft (CAN),1,1975,1975,NORDICA 20
Nordship,1,2012,2012,NORDSHIP 380 DS
Nordship (DEN),1,1995,1995,NORDSHIP 35
Nordship Bawearft,1,1982,1982,NORDSHIP 666
NorseBoat (Can),1,2008,2008,NORSEBOAT 12.5
Norseman Marine (SA),1,1993,1993,NORSEMAN 400 (SIMONIS)
Norseman Yachts Inc.,1,1980,1980,NORSEMAN 400 (GRANT)
Norseman Yachts Inc./Shing Sheng (TAIWAN),1,1987,1987,NORSEMAN 535
North Beach Yachts (POL),1,2001,2001,NORTH BEACH 24
North Castle Marine Ltd.,1,1993,1993,GOZZARD 44
North Castle Marine Ltd. (CAN),3,1989,1998,GOZZARD 31
North Coast Marine & Engineering Ltd. (CAN),1,1969,1969,NORTH COAST 30
North Coast Yachts,1,1982,1982,WYLIE WABBIT 24
North Cornwall Marine (UK),1,1979,1979,TAMARISK 29
North Fraser Yachts,1,1989,1989,SEA MAID 45
North Norfolk Boatbuilders / Neil Thompson Boats,1,1991,1991,NORFOLK URCHIN
North Norfolk Boatbuilding / Neil Thompson Boats,1,1989,1989,NORFOLK OYSTER
North Sea Craft (UK),2,1975,1977,SAMPHIRE 26
North Sea Craft (UK)/Cutriss Boats (UK),1,1972,1972,TAMARISK 24
North Star Yachts Ltd. (CAN),2,1973,1976,NORTH STAR 727 (FARR)
North Star Yachts Ltd.(CAN),1,1976,1976,NORTH STAR 26
North Wind,1,1981,1981,NORTH WIND 38
North Wind (ESP),1,1980,1980,NORTH WIND 435
North Wind Yachts (AUS),1,1976,1976,NW 7
North Wind Yachts (ESP),4,1981,2006,NORTH WIND 43 DS
Northern Yacht Ltd. (CAN),1,1975,1975,NORTHERN 37K
Northern Yachts (CAN),1,1972,1972,NORTHERN 1/4 TON
Northern Yachts (USA),1,1974,1974,MONTEREY 24
Northman (PL),1,2021,2021,MAXUS 34
Northman Shipyard (PL),7,2007,2014,MAXUS 22 (CB)
Northshore (UK),2,1985,1986,SOUTHERLY 145
Northshore Yachts,6,1983,2011,SOUTHERLY 135 Mk 1
Northshore Yachts (AUS),2,1985,1997,NORTHSHORE 460
Northshore Yachts (AUSTRALIA),1,1983,1983,NORTHSHORE 38
Northshore Yachts (UK),2,2007,2009,SOUTHERLY 42RST
Northshore Yachts Ltd (UK),2,2010,2010,SOUTHERLY 420
Northshore Yachts Ltd.,1,1975,1975,SOUTHERLY 28
NorthStar Yachts Ltd. (CAN),1,1975,1975,NORTH STAR 600
Northwest Yacht Constructors Ltd. (USA),1,1983,1983,NORTHWEST 28
Notesunds Varv AB,1,1969,1969,VINDO 16
Novatecnia (ARG),1,2009,2009,GR 28
Nowack & Williams (USA),1,1979,1979,HERRESHOFF SCOUT
Nunn Brothers (UK),1,1946,1946,DRAGONFLY ONE-DESIGN
Nyboat (DEN),1,1982,1982,LARSEN 232
Nye Yachts (CAN),1,1984,1984,ALBERG 34
Nykra Oy Ab (FIN),2,1980,1982,FINN EXPRESS 83
Nötesund Varv AB (SWE),3,1963,1976,VINDO 40
O Yachts (Latvia),1,2019,2019,CLASS 6
O'Day (USA),1,1966,1966,FLYING SAUCER (O'DAY)
O'Day Corp. (USA),18,1946,1988,SWIFT (O'DAY)
O'Day Corp. (USA)/ Gmach & Co. (UK),1,1968,1968,WILDFIRE
O'Day/Rebel Industries,1,1971,1971,DAYSAILER II
O'Day/Rebel Industries/Cape Cod Shipbuilding (USA),1,1956,1956,DAYSAILER
O. J. Young /New Orleans Marine/Palmer Johnson,1,1977,1977,NEW YORK 40 (PETERSON)
Ocean Cruising Yachts,1,1981,1981,OCEAN CRUISING 42
Ocean Yachts (ESP),1,1978,1978,MANZANITA (HOLLAND)
Ocean Yachts / Sumner Boat Co. (USA),1,1972,1972,ISLANDS 17
Oceancraft (UK),1,1982,1982,EBBTIDE 33
OceanLake Marine,1,2003,2003,SEACART 30
Oceantech,2,2000,2006,MALBEC 290
Oceantech (ARG),1,2004,2004,MALBEC 360
Ocqueteu,1,,,BOSCO
Offshore Yachts Ltd. (UK),2,1967,1968,HALCYON 23
Ohlson Brothers,1,1958,1958,OHLSON 36
Oliver LeeBrewer Boats Ltd. Parker Yachts (UK),1,1967,1967,SQUIB
Olivier Gilbert Marine (FRA),1,1984,1984,GIB'SEA 106
Olympic Yachts,1,1976,1976,OLYMPIC 42
Olympic Yachts (GRE),1,1971,1971,CARTER 33
Olympic Yachts (GREECE),1,1973,1973,CARTER 37 (1 TON)
Olympic Yachts Ltd. (CAN),1,1967,1967,CORINTHIAN 28
Olympic Yachts S.A. (GRE),1,1974,1974,OLYMPIC ADVENTURE 47
Omavalmiste,1,1982,1982,MP 25
Omega Yachts (SWE),1,1982,1982,OMEGA 30 S
Ontario Yachts (CAN),4,1973,1989,ONTARIO 32
Opus værft (DEN),1,1970,1970,OPUS 34
Ostia Canados Shipyards (ITA),1,1983,1983,CANADOS 44
Ott Yacht GmbH (GER),1,1988,1988,DIAMANT 2000
"Otto Nielsen, Tåsinge Glasfiber (DEN)",1,1976,1976,IMPALA 30
Outbound Yachts,2,2001,2008,OUTBOUND 52
Outremer (FRA),5,2010,2025,OUTREMER 49
Ouyang Boat Works (CAN),5,1971,1986,ALOHA 32
Ouyang Boat Works (CAN)/ Ontario Yachts (CAN),1,1987,1987,ODYSSEY 30
Ovington Boats,1,1998,1998,59ER
Ovington Boats Ltd.,2,1928,2000,INTERNATIONAL 14
