builder_raw,model_rows,first_year_min,first_year_max,sample_model
OY Fiskars AB (FIN),1,1976,1976,FINNSAILER 38
"OY Kinetik, LTD",1,1975,1975,FINNTERN 35 MOTORSAILER
OY Nykra (FIN),1,1982,1982,SUNWIND 27
OY Nykra AB (FIN),5,1970,1988,SUNWIND 26
Oyster,1,1981,1981,SJ-27 (OYSTER)
Oyster Marine,8,1978,2015,OYSTER 45
Oyster Marine (UK),1,1979,1979,OYSTER MARINER 35
Oyster Marine (UK)/Windboats Marine Ltd.,1,1982,1982,SJ-35 (OYSTER)
Oyster Marine Ltd.,4,1983,1987,OYSTER 48 LIGHTWAVE
Oyster Marine Ltd. (UK),5,1978,1996,OYSTER 56
Oyster Yachts,3,2017,2021,OYSTER 565
P&M Worldwide/Westsail Corp. (USA),1,1979,1979,WESTSAIL 39
P. Evanson Boat Co.  (USA),1,1952,1952,CELEBRITY
Pabouk (FRA),2,2009,2014,PABOUK 700
Pacer Yachats (ZA),1,2012,2012,PACER 310
Pacer Yachts,1,2010,2010,PACER 376R
Pacer Yachts (SA),1,2005,2005,PACER 27 SPORT
Pacesetter Yachts (AUS),1,1983,1983,ELLIOTT 5.9
Paceship,1,1981,1981,SEIDELMANN 24
Paceship Yachts (CAN),7,1962,1972,CHANCE 32/28 (PACESHIP)
Paceship Yachts Ltd. (CAN),2,1970,1970,PACESHIP  2-16
Paceship/AMF,1,1972,1972,PY 26 (PACESHIP)
Pacific Boats Inc. (USA),1,1984,1984,OLSON 29
Pacific Boats/Ericson Yachts (USA),1,1984,1984,OLSON 25
Pacific Seacraft,4,1977,1991,PACIFIC SEACRAFT PILOTHOUSE 32
Pacific Seacraft (USA),3,1984,1997,DANA 24 (PACIFIC SEACRAFT)
Palmer Johnson (USA),1,1947,1947,STOUT FELLA 33
Palmer Scott & Co. (USA),1,1941,1941,WEEK-ENDER (RHODES)
Pan Oceanic Marine (PHIL),1,1982,1982,OCEANIC 38
"Pantawee Marine Co., Ltd.",1,2010,2010,HALLMARK 480
Panthercraft Ltd. (UK),1,1975,1975,DART 18
Parca Marin (SWE),1,1968,1968,MINETTE
Parker Dawson Yachts (USA),2,1973,1980,PARKER DAWSON 26
Parker River Marine / J.R.Duplin Marine,1,1953,1953,TURNABOUT (NATIONAL 10)
Parker Yachts Ltd.,1,1995,1995,PARKER 335
Passage Boat Builder,1,1979,1979,PASSAGE 24
Passport Yachts (TAIWAN),1,1982,1982,PASSPORT 51
Passport Yachts Inc. (TAIWAN),10,1980,2016,VISTA 545 (PASSPORT)
Passport Yachts Inc./King Dragon Ltd. (TAIWAN),1,1984,1984,PASSPORT 37
Pauger Carbon Composites (HU),1,2007,2007,RC44
Paul E. Luke (USA),1,1981,1981,S&S 50 (LUKE)
Paul Whiting (NZ),1,1968,1968,REACTOR 25
PDQ Yachts Inc. (CAN),2,1988,1991,PDQ 34
PDQ/Antares Yachts,1,2003,2003,ANTARES 44
Pearson Composites,1,2007,2007,NAVY 44 MK II
Pearson Tillotson(Corsair M.),1,1992,1992,F-31 SPORT CRUISER
Pearson Yachts,2,1985,1985,TRITON 21
Pearson Yachts (USA),34,1958,1987,PEARSON 28 (1980-82)
Pearson Yachts-USA/Jouet-France,1,1958,1958,TRITON (PEARSON)
Pegasus Yachts (SLO),1,2020,2020,PEGASUS 50
Penryn Boat Building Co./Honnor Marine (UK),1,1971,1971,NOVA 27
Penryn Boatbuilding Co. (UK),1,1962,1962,BALLERINA II
"Performance Catamarans, Inc. (USA)",1,1979,1979,NACRA 5.5 (18 SQ. METER)
Performance Sailcarft/Laser International,1,1983,1983,LASER 28
Performance Sailcraft Australia,1,2008,2008,CAPRICORN F18
"Pert Lowell, Co., Inc. (USA)",1,1932,1932,TOWN
Peter Bjørn Olsen (DEN),1,1975,1975,L 23
Peter Bruun (DEN),1,1968,1968,SPÆKHUGGER
Peter Milner Yachts,1,1995,1995,FOUNDATION 36
Peter Webster Ltd. (UK),1,1968,1968,ELIZABETHAN 31
Phantom International,2,2015,2017,FLYING PHANTOM ESSENTIAL
Phantom Yachtbau Genzel (GER),3,1970,1976,PHANTOM 34 (STREUER)
Phantom yachts (AUS),1,1985,1985,PHANTOM 33 (SHEIN)
Philbrooks Shipyard (CAN) /Tollycraft,1,1976,1976,FAST PASSAGE 39
Philbrooks Shipyard Ltd. (CAN),1,1974,1974,CHINOOK 37
Phileas Boats (FRA),1,1998,1998,DECLIC
Philias Boats (FRA),1,2000,2000,OPEN 5.00
Pierre Rolland,1,2006,2006,MALANGO 8.88
Pijnen Jachtbouw (NL),1,2002,2002,STERN 37
Pijnen jachtbouw/Trimax Yachts (BEL),1,1999,1999,TRIMAX 1050
Pinnacle Design Group,1,1985,1985,PINNACLE 30
Plans available from designer,1,1980,1980,JOJO 9.2
Plans for home builder,2,1962,1964,BUNYIP 20
Plans from designer,1,1984,1984,PICCOLO
Plas Trend Boats (USA),1,1970,1970,PT-30-2 (PLAS TREND 30-2)
PlastiGlass / W. D. Schock Co. (USA),1,1948,1948,LEHMAN INTERCLUB
PlastiGlass/W. D.Schock,1,1953,1953,LEHMAN 12
Plasto GmbH,1,1971,1971,RA-18
Plasto GmbH & Co. (GER),1,1975,1975,RA-ANTARES
PlasTrend (USA),2,1969,1969,MUSTANG 22
Platinum Yachting/ Rock Run Yachts (UK),1,1992,1992,E 28
Plycraft (UK),1,1959,1959,MERCURY 14 (UK)
Pogo Structures (FRA),3,2011,2016,POGO 50
POGO Structures (FRA),1,1999,1999,POGO 8.50
Polaris Yachts (ITA),2,1977,1980,POLARIS 37 (HOLLAND)
Politi Costruzioni Nautiche (IT),1,1981,1981,ISOLA 34
Polymarin (NL),2,1976,1981,PIONIER 830
Polymore (NL),1,,,OOSTZEE JOL
Porali Marin AB (SWE),1,1974,1974,BOSTROM 37
Porter & Haylett (UK),1,1979,1979,GRAMPIAN 37 (PORTER & HAYLETT)
"Portland Yacht Yard (Portland, Connecticut)",1,1926,1926,PEQUOT-BLACK ROCK OD (INDIAN)
Portsmouth Yacht Co. (USA),1,1974,1974,EASTWARD HO 24
Portsmouth Yacht Co./C. E. Ryder (USA),1,1959,1959,EASTWARD HO SR. 31
Portwind Sailboats,1,1988,1988,SUNCATCHER CAT
Poul Oddersborg (DEN),1,1970,1970,SVENDBORG SENIOR 19
Precision Boat Works (USA),7,1982,1997,PRECISION 16
Precourt (CAN),1,2007,2007,PRECOURT 7.5
Premier Composite Technologies (DUB),1,2007,2007,FARR 11S
Premier Composite Technologies (UAE),1,2008,2008,LANDMARK 43
Premier/ Melges Performance Sailboats,1,2017,2017,MELGES 40
Prestige Yachts International (AU),1,1983,1983,PRESTIGE 36
Princess Yachts (AUS),1,1979,1979,PRINCESS 18
Princess Yachts International,1,2002,2002,MOODY 64
Prindle (USA),1,1995,1995,PRINDLE ESCAPE
Prindle Catamarans. (USA),1,1983,1983,NOMAD 14 (PRINDLE)
Prindle/Lear Siegler Marine,1,1978,1978,PRINDLE 15
Prindle/Performance Catamarans (USA),1,1983,1983,PRINDLE 18-2
Priviledge Catamarans,1,2004,2004,PRIVILEGE 395
Privilege Marine,2,2016,2020,PRIVILEGE 640
Production Yachts (Scotland),1,1976,1976,ELIMINATOR (1/2 TON)
Projection Yachts (UK),1,1995,1995,PROJECTION 762
Projektowanie i Budowa Jachtów,1,1998,1998,MANTRA 7000
Proteus Yachts,1,1999,1999,PY 90
Proteus Yachts (IT),1,2004,2004,ESSE 850
Prout,1,1993,1993,EVENT 34 (PROUT)
Prout Catamarans,1,1999,1999,MOODY EXCEL 34
Prout Catamarans (UK),3,1970,1991,ESCALE 39 (PROUT)
Prout Ltd. (UK),2,1979,1986,SNOWGOOSE 37 (PROUT)
Prout Marine (UK),1,1969,1969,APOLLO 18
"PSI Yachts (Durban, South Africa)",1,1980,1980,L 26 (LAVRANOS)
Puffin Paints and Glues (UK),1,1969,1969,PACER
Puzzle Marine,1,1978,1978,PUZZLE 36
Pyramid Boat Works (USA),2,1982,1983,PYRAMID 30
Queen Long (TIAWAN),1,1995,1995,HYLAS 70
Queen Long Marine,2,2018,2019,HYLAS 48
Queen Long Marine (TAIWAN),1,1992,1992,HYLAS 49
"Queen Long Marine Co, Ltd. (TAIWAN)",1,1993,1993,HYLAS 45.5
Queen Long Marine Co. Ltd. (TAIWAN),1,1997,1997,HYLAS 55
Queen Long Matire Co. Ltd.,1,1985,1985,HYLAS 42 SD
Quickstep Sailboats (USA),1,1987,1987,QUICKSTEP 21
Quincy Adams Yachts Yard (USA),1,1946,1946,US ONE-DESIGN
Quorning Boats (DEN),5,1981,2020,DRAGONFLY 920
Quorning Sailboats (DEN),2,2001,2007,DRAGONFLY 1200
R. Fung Ltd. (HK),1,1969,1969,WALLOON
R. J. Prior & Son Ltd. (UK),2,1954,1965,YEOMAN JUNIOR
Raider Yachts Inc. (USA),1,1977,1977,RAIDER 33
Rainbow Boat Co. (USA),1,1982,1982,CRYSTAL CAT
Randy Reynolds (USA),1,1979,1979,REYNOLDS 21
Ranger Fiberglass Boats (USA),1,1980,1980,RANGER 8.5
Ranger Yachts (USA),3,1969,1973,RANGER 32
Ranger Yachts/Lear Siegler,1,1980,1980,RANGER 26-2 (MULL)
Rapido Trimarans (Hong Kong),3,2020,2023,RAPIDO 53 XS
Ray Greene & Co.,1,1968,1968,SEA HORSE
Ray Greene & Co. (USA),1,1938,1938,NIPPER (RAY GREENE)
Ray Greene (USA),1,1961,1961,RASCAL 14
Rebel Industries (USA),1,1984,1984,SPINDRIFT 24
Recreational Products (USA),1,1973,1973,CORTEZ 16
Red Fox Yachts/Select Yachts (UK),1,1990,1990,RED FOX 200
Reedcraft Ltd/R. Moore & Son. (UK),1,1968,1968,SEAHAWK 17
Reese Marin/Nordship (DEN),1,1982,1982,NORDSHIP 808
Regina af Vindo Yachts AB (SWE),1,1997,1997,REGINA 43
Regina af Vindö Yachts AB (SWE),1,2000,2000,REGINA 49
Regina of Vindö (SWE),1,2005,2005,REGINA 35
Reid Marine (UK),1,1992,1992,HAWK 20
Reinell,1,1974,1974,REINELL 22
Reisinger Marine (USA),1,1955,1955,TEMPTRESS 32
"Reliance Sailing Craft Co., Ltd. (CAN)",2,1972,1987,RELIANCE 12
Rethana Yachts (GER),1,1979,1979,RETHANA 25
Reverso (FRA),1,2018,2018,REVERSO AIR
Rex Marin (SWE),1,1980,1980,APHRODITE 29/291
Rhebergen Multihulls (DEN),1,1979,1979,HAVCAT 27
Rice Brothers (USA),2,1915,1919,DARK HARBOR 12 1/2
Richmond Marine (UK),1,1967,1967,SKIPPER 14
Richmond Marine Ltd.  (UK),1,1959,1959,MINISAIL
