builder_raw,model_rows,first_year_min,first_year_max,sample_model
Holiday Boats ( PHI),1,1984,1984,HOLIDAY 36
"Holland Boat Co, (NL)",1,1979,1979,DARTSAILOR 27
Holliday Yachts (USA),1,1959,1959,COTTONTAIL
Honner Marine Ltd. (UK),2,1968,1971,DRASCOMBE LONGBOAT
Honnor Marine,2,1977,1979,DRASCOMBE COASTER
Honnor Marine Ltd.,1,1970,1970,DEVON COASTER
Hopwood Boats (NZ),1,1982,1982,ROSS 930
Horizon Yacht Co. (USA),1,1982,1982,HORIZON 39
Hotfoot Boats (CAN),3,1981,1985,HOTFOOT 20
Howie Craft Plastics (USA),1,1967,1967,HERITAGE 20
Howmar Boats Inc.(USA),1,1978,1978,DESIGNERS CHOICE (HOWMAR)
HTL Fiberglass Ltd. (CAN),1,1981,1981,HTL 28
Hudson Enterprise Ltd.,1,1977,1977,HUDSON SEA WOLF 44
Hudson Yacht Group,3,2018,2022,HH 55
Hughes Boat Works Ltd. (CAN),2,1975,1979,HUGHES-COLUMBIA 36
Hughes Boatworks (CAN),1,1966,1966,HUGHES 24
Hughes Boatworks Ltd.(CAN),4,1970,1972,NORTH STAR 22
Huisman,1,1978,1978,HUISMAN 37
"Huisman, etc.",1,1976,1976,ORION 33
"Hullmaster Boats, Ltd. (CAN)",1,1973,1973,HULLMASTER 22
"Hullmaster Boats, Ltd./DS Yachts (CAN)",1,1974,1974,HULLMASTER 27
Humboldt Bay Yachts (USA),1,1982,1982,HUMBOLDT 30
Hungarian Shipyards & Crane Factory,4,1966,1977,BALATON 31
Hunter Boats (UK),7,1971,2000,HUNTER 701 (LEE)
Hunter Boats Ltd. (UK),5,1977,1996,RANGER 245 (THOMAS)
Hunter Boats Ltd. (UK)/Cornish Crabbers (UK),1,2003,2003,MYSTERY 35 (HUNTER)
"Hunter Boats, Ltd. (UK)",1,1987,1987,HUNTER HORIZON 32 WHEELHOUSE
Hunter Marine,2,2001,2010,HUNTER 22-2
Hunter Marine (USA),47,1972,2011,HUNTER 38
Hunter Marine Corp,1,1996,1996,HUNTER 376
Hurley Marine,1,1972,1972,HURLEY 30/90
Hurley Marine Ltd (UK),1,1963,1963,HURLEY 18
Hurley Marine Ltd. (UK),1,1960,1960,MIDSHIPMAN (TUCKER)
Huromic Metal Ind. Ltd.,1,1977,1977,GODERICH 35
Hutting Yachts (NL),2,2000,2000,HUTTING 40
HVM Shipyard (NED),1,1965,1965,DRAIJER 5.70
I. N. Fiberbåde A/S (DEN),1,1983,1983,BANNER 23
I. N. Fiberbåde ApS (DEN),1,1974,1974,BANNER 33
I.N. FIBERBÅDE (DEN),1,1980,1980,BANNER 28
Ib Hauge Nielsen (DEN),1,1987,1987,BANNER 41
ICE Yachts (IT),1,2014,2014,ICE 33
Ice Yachts (IT),1,2018,2018,ICE 60
Iceni Yachts (UK),1,2013,2013,ICENI 39
ICL Engineering,1,1969,1969,DISCOVERY 37
IDB Marine (FRA),2,2008,2018,MALANGO 9.99
Imexus Yachts,1,2001,2001,IMEXUS 28
Impala Yachts (DEN),1,1972,1972,IMPALA 28 (JENSEN)
Impulse Marine / Johnson Boatworks (USA),1,1986,1986,IMPULSE 21
Independant Yachts (CAN),1,1980,1980,FORMULA 21
Independent Yachts (CAN),1,1978,1978,INDEPENDENT 20-2
Industrial Manufacturing (CAN),1,1964,1964,ACADIAN 30 (PACESHIP)
Ingvar Aronsson/Omega Yachts (SWE),1,1976,1976,OMEGA 28
Intercarene Shipyard (ITA),1,1977,1977,BALANZONE (1/2 TON)
Intermark Sailcraft ApS (DEN),1,1970,1970,FLIPPER EXPORT
International Composites (ITA),2,1996,1996,BRENTA 24
International Marine (AUS),1,1970,1970,COLUMBIA 27
International Marine Japan Ltd. (JAP),2,1950,1958,SAMURAI 28
International Yacht Corp. (USA),1,1975,1975,INTERNATIONAL 23
Intrepid Marine Services (USA),1,1978,1978,KELLEY 24
Intrepid Yachts / Cape Dory,1,1981,1981,INTREPID 40
Investigator Yachts PTY.LTD.(AUS),2,1976,1979,SONATA 7
Iona (USA),1,1973,1973,IONA 32
Irwin Yacht & Marine Corp. (USA),1,1969,1969,IRWIN 25
Irwin Yacht & Marine Corporation (USA),2,1976,1977,IRWIN 1/2 TON MKII
Irwin Yachts,1,1970,1970,IRWIN 45
Irwin Yachts (USA),19,1967,1987,IRWIN 28 MK III
Island Packet,2,2007,2019,SP CRUISER (ISLAND PACKET)
Island Packet (USA),1,2021,2021,ISLAND PACKET 439
Island Packet Yachts (USA),12,1986,2012,ISLAND PACKET 32
Island Partners (Sun Yachts)/Reinell Boat Co.,1,1974,1974,CHEETAH 26 (MONK)
Island Plastics (UK),1,1972,1972,IP 23/24
Island Spirit,3,2017,2022,ISLAND SPIRIT 380
Islander,1,1970,1970,ISLANDER 30 MK II
Islander Yachts (USA),4,1971,1983,ISLANDER 36
Islander Yachts/McGlasson Marine (USA),1,1964,1964,BAHAMA 24 (ISLANDER)
Islander Yachts/Yachtcraft (USA),1,1972,1972,ISLANDER 41 (GURNEY)
"Itacatamarans, Srl (Italy)",1,2018,2018,ITA 14.99
Italia Yachts,2,2010,2011,ITALIA 13.98
Italia Yachts (ITA),1,2022,2022,ITALIA 16.98
Ithaca Yachts (NED),1,2012,2012,ITHACA 40
Itlaia Yachts,1,2015,2015,ITALIA 9.98
IW-Varvet,2,1960,1968,VINDO 28
IW-Varvet (SWE),1,1964,1964,F 12 (GUSTAVSSON)
J & J Nash Industries Ltd. (CAN),1,1972,1972,NASH 20
J & S Fibreglass (AUS),1,1976,1976,MARICAT 4.3
J Boats,4,2002,2008,J/97E
J Boats (USA),1,2013,2013,J/88
J Boats Tillotson Pearson (USA),19,1977,2012,J/35
J D Marine (CAN),1,1962,1962,PACIFIC 30
J J Marine Ltd. (UK),1,1974,1974,NARVIK 35 MS
J&S Marine (AU)/Allan Bell (UK)/Panthercraft,1,1971,1971,HYDRA 16
J-Boats,1,2006,2006,J/133
J. Chippendale,1,1975,1975,BULLET (MILNE)
J. Hilditch Carrickfergus,1,1906,1906,FAIRY ONE-DESIGN
J. Howard Perrine,1,1918,1918,BARNEGAT BAY SNEAKBOX
J. J. Nash Industries (CAN),1,1975,1975,NASH 26
J. L. Gmach & Co. Ltd. (UK),1,1963,1963,FIREBIRD (PROCTOR)
J.G.Fay & Co.,1,1903,1903,SOLENT CLASS
J.O. Brown (USA),1,1919,1919,NORTH HAVEN DINGHY
J/Boats (USA),2,1997,2024,J/7
J/Boats and J/Composites,1,2019,2019,J/99
J/Composites (FRA),1,2025,2025,J/36
Jachtbouw - Sneek (NED),1,1976,1976,NOORDSVAARDER 900
Jachtbouw Meijer (NL),1,1978,1978,FRIENDSHIP 22
Jachtwerf Frans Maas,1,1976,1976,STANDFAST LOPER
Jachtwerf Gebr. de Kloet B.V.,2,1976,1995,FELLOWSHIP 28
Jachtwerf Gebr. De Kloet BV,1,1975,1975,EFSIX
Jachtwerf Heeg (NED),4,1962,2023,POINTER 30
Jachtwerft G. van Wijk & Zoon (NED),1,1984,1984,WIBO 990
Jack A. Helms Co (USA),1,1974,1974,HELMS 25
Jack A. Helms Co. (USA),2,1976,1978,HELMS 27
Jack Watson (USA),1,1978,1978,CREEKMORE 10.4
Jacobssons Båtbyggeri,1,1974,1974,FANTASI 37
Jaguar Yachts,1,1978,1978,JAGUAR 21
Jaguar Yachts Ltd.,1,1990,1990,JAGUAR 24
Jakobstads Båtvarv,1,1930,1930,HAI/HAJ
James Betts Ent. (USA),1,2008,2008,SIERRA 26
James E. Graves Inc. (USA),1,1938,1938,COASTWISE CRUISER (#675)
James Graves (USA),1,1926,1926,TRIANGLE ONE-DESIGN
Jeaneau (FRA),1,1981,1981,ESPACE 800 (JEANNEAU)
Jeanneau,19,1971,2021,LEGENDE 1 TON (JEANNEAU)
Jeanneau (FRA),78,1970,2026,JEANNEAU YACHTS 58
Jeanneau (FRA)/TPI (USA),1,1991,1991,LAGOON 37
Jeanneau Yachts,1,1995,1995,SUN ODYSSEY 52.2 (JEANNEAU)
Jeanneau/Franck Roy (FRA),1,1980,1980,MICROSAIL (MULL)
Jeantot Marine (FRA),1,1992,1992,PRIVILEGE 482
Jeantot Marine (France),3,1995,1998,PRIVILEGE 37
Jensen Marine (USA),16,1958,1977,CAL 36
Jensen Marine/Bangor Punta,1,1978,1978,CAL 39 MK II (1-147)
Jeremy Rogers (UK),4,1973,1979,CONTESSA 35
Joe Adams (AU),1,1980,1980,ADAMS 10.6
"Joel Johnson (Connecticut, USA)",1,1935,1935,PILOT CUTTER (STADEL)
Joemarin (FIN),1,1978,1978,LOHI 34
Joemarin OY (FIN),2,1973,1977,JOEMARIN 34
Johannsen Boat Works (USA),2,1990,2001,RAIDER 16 SPORT
John Baker (UK),1,1976,1976,SEAL 28
John Hildtich (IRELAND),1,1898,1898,BELFAST LOUGH ONE-DESIGN (CLASS I)
John Kaiser (USA),1,1968,1968,KAISER 26
John Robertson (SA),1,1982,1982,CHARGER 33
John Robertson Yachts (SA),1,1990,1990,SOVEREIGN 54
Johnson Batar AB (SWE),1,1966,1966,MAGNIFIK MIDGET
Johnson Boat Works (USA),2,1924,1981,JOHNSON DAYSAILER 16
Johnson Boat Works/Catalina Yachts,1,1994,1994,JOHNSON 18
Johnson Boat Works/New Orleans Marine,1,1984,1984,IMPULSE 26
Johnson Boatworks (USA),1,1905,1905,C SCOW
Jongert (NED),1,1981,1981,JONGERT 21S
Jongert B. V. (NED),1,1976,1976,JONGERT 19
Jonmeri (FIN),2,1981,1988,JONMERI 40
Jonmeri Yachts / Maestro Yachts,1,1985,1985,MAESTRO 38
Jouet,1,1969,1969,SHERIFF 600
Jouët (FRA),2,1966,1980,JOUËT 820
Jouët/Chantiers de Loire-Normandie (FRA),1,1963,1963,TIBURON (JOUËT)
JPK Composites,3,2003,2013,JPK 1080
JPK Composites (FRA),4,2007,2025,JPK 1050
Jupiter Yachts,1,1982,1982,JUPITER 30
Jutahela OY (FIN),2,1975,1977,MARINA 95
K de Komposites (ESP),1,2007,2007,TOM 28 MAX
K.R.Skentelbery & Sons Ltd.(UK),2,1977,1977,SAGA 40
K.S Hill & Co. (AUSTRALIA),1,1974,1974,SURFCAT 14
Ka Shing (TAIWAN),1,1982,1982,SPINDRIFT 43
Kaiser Yachts Associates (USA),1,1977,1977,GALE FORCE
Kaiulani Sailing Vessels (USA),1,1980,1980,KAIULANI 38
Kang Nam Shipbuilders (KOREA),1,1979,1979,SWIFT 40
Kanter (CAN),2,1990,1992,KANTER 47
Kanter Marine (CAN),1,1993,1993,KANTER 53
Kanter Yachts,1,1988,1988,BOUGAINVILLAEA 54
Karlskrona / Albin Marine,1,1966,1966,VIGGEN 23 (ALBIN)
Kells Corp. (USA),3,1971,1976,COASTER 23 (KELLS CORP.)
Kelly Craft,1,1977,1977,WINDSPRITE
Kelt (FRA),1,1974,1974,KELT 6.20
Kelt Marine (FRA),2,1977,1983,KELT 8.50
Kempthorne Boats (NZ),1,1972,1972,CORONET 20
Kendall/Westsail (USA),1,1971,1971,KENDALL 32
Kennedy International Boats Ltd. (IRE),1,1971,1971,KERRY 27 (9T)
Kenner Boat Company,2,1952,1966,PRIVATEER 26
Kettenburg Boat Works (USA),1,1959,1959,K-47 MOTORSAILER (KETTENBURG)
Kettenburg Marine (USA),1,1948,1948,KETTENBURG 38
Kettenburg Marine/Whittaker Corp.,1,1975,1975,KETTENBURG 32
Kettenburg Yachts (USA),1,1960,1960,KETTENBURG 50
Kim Boote GmbH (GER),1,1979,1979,KIM AR
Kirie (FRA),12,1971,2010,FEELING 286
