builder_raw,model_rows,first_year_min,first_year_max,sample_model
Grand Soleil (Cantiere del Pardo),1,1985,1985,GRAND SOLEIL 343 (JEZEQUEL)
Graves Yacht Yard (USA),2,1946,1980,210
Graves Yacht Yard / George Chaisson / others,1,1925,1925,ALDEN O CLASS MK II
Great Bay Boat Works (USA),1,1976,1976,GREAT BAY CHAMPION
Greenport Basin & Construction Co. (USA),1,1925,1925,TIMBER POINT ONE DESIGN
Grell Werft (GERMANY),2,1971,1971,SIRIUS 727
Grumman Corp/Pearson Yachts (USA),1,1959,1959,GRUMMAN DINGHY
Gryphon Marine,1,1984,1984,NOE 27
Gulf Coast Sailboats (USA),2,1969,1972,GULF COAST 23
Gulfstar,3,1971,1980,GULFSTAR 36 MS (TWIN CABIN)
Gulfstar (USA),1,1976,1976,GULFSTAR 40 (HOOD)
Gulfstar Yachts (USA),8,1974,1986,GULFSTAR 50
Gunboat,3,2006,2015,GUNBOAT 55
Gunfleet Marine,1,2013,2013,GUNFLEET 58
Gunnar Orust (SWE),1,1966,1966,GULLMARSKRYSSSARE
H.E.Förster GmbH (GER),1,2004,2004,BLUESTORM 700
Haber Yachts,3,2005,2007,HABER 800
Hailex International (TAIWAN),1,1979,1979,CMS 41
"Hake Yachts, Inc. (USA)",2,1984,1984,SEAWARD 23
Hallberg-Rassy,11,1967,2012,HALLBERG-RASSY 35
Hallberg-Rassy (SWE),9,1955,2020,HALLBERG-RASSY 53
Halmatic (UK),3,1960,1972,AJAX (LEE)
Halmatic Ltd. (UK),3,1960,1979,HALMATIC 30
Hank Hinckley Boat Builders,1,1996,1996,GREAT HARBOR 26
Hans Christian,3,1986,1986,CHRISTINA 48 (HANS CHRISTIAN)
Hansa Sailing,1,2003,2003,HANSA 303 (ACCESS)
Hansa Sailing Systems,2,2003,2006,ACCESS 2.3
Hanse Yachts,13,2003,2018,HANSE 588
hanse Yachts (GER),1,2025,2025,HANSE 360 ST
Hanse Yachts (GER),6,1993,2024,HANSE 495
Hansheng Yachtbuilding Co. Ltd. (CHINA),1,2005,2005,FLYING TIGER 10M
Hansson Boats AB (SWE),1,2001,2001,HANSSON 31
Hardin International Ltd. (TAIWAN),1,1977,1977,BOUNTY 44
Harley Raceboats (UK),2,1988,1999,MUSTANG 30
Harley Racing Yachts (UK),1,2004,2004,CONTINENTAL ONE DESIGN
Harmony Yachts (Groupe Poncin Yachts),2,2005,2007,HARMONY 31 (PONCIN)
Harmony Yachts/Gloucester Yachts (USA),1,1977,1977,HARMONY 22
Harris & Heacock,1,1972,1972,HARRIS & HEACOCK 27
Harry Feltham,1,1931,1931,SEA VIEW ONE-DESIGN (UK)
Harstad Trawler Company (USA),1,1975,1975,HARSTAD 31
Hartley Boats,2,1956,1996,SUPERNOVA
Hartley Boats (UK),1,2013,2013,H12
Helmsman,1,1978,1978,LORD HELMSMAN
Helmsman Yachts,2,1976,1980,QUEEN HELMSMAN
Helmsman Yachts (DEN),1,1977,1977,HELMSMAN 26 1/4 TON
Helsen Yachts (USA),1,1971,1971,HELSEN 22
Helsingborgs Boatyard (SWE),1,1984,1984,GAMBLER 37
Henri Wauquiez (FRA),9,1968,1990,CENTURION 38
Henry B. Nevins (USA),2,1935,1939,SEAWANHAKA ONE-DESIGN (S&S)
Henry Hinckley,1,1946,1946,HINCKLEY 21
Henry McCune/Wesco Marine/Coronado Yachts,1,1959,1959,AURORA  21
Henry R. Hinckley & Co. (USA),6,1960,1976,HINCKLEY 43 (HOOD)
Henry R. Hinckley & Co. (USA).,1,1982,1982,SOU'WESTER 59 (HINCKLEY)
Henry R. Hinckley & Co.(USA),2,1968,1968,HINCKLEY 38
Henry Vink Boat Builders Pty Ltd (SA),1,1968,1968,LELLO 34
Heritage Marine,1,1978,1978,NOR'SEA 26 PILOTHOUSE
Heritage Yacht Builders Co. Ltd. (CAN),1,1974,1974,HERITAGE 35
Heritage Yacht Corp.(USA),1,1978,1978,HERITAGE SUPER 27
Heritage Yachts Ltd. (AUSTRALIA),1,1979,1979,PAWTUCKET 35
Heritage Yachts/Intrepid Yachts,1,1983,1983,INTREPID 35
Herreshoff Manufacturing (USA),2,1903,1914,BUZZARDS BAY 18
Herreshoff Manufacturing Co.,3,1902,1914,HERRESHOFF 12 1/2
Herreshoff Manufacturing Co. (USA),3,1922,1937,SEAFARER (HERRESHOFF)
Herreshoff Manufacturing Co.(USA),1,1919,1919,S-CLASS (HERRESHOFF)
Herreshoff Mfg. (USA),1,1931,1931,FISHERS ISLAND 23
Herreshoff Mfg. Co.,2,1899,1902,BUZZARDS BAY 15
Herreshoff Mfg. Co. (USA),2,1899,1916,NEW YORK YACHT CLUB 40
Herreshoff Mfg. Co.(USA),1,1904,1904,NEW YORK YACHT CLUB 30
Heyman Yachts (SWE),1,2018,2018,CELESTE 36
Hilditch,1,1900,1900,IRISH CLASS 20
Hill & Cameron Yachts (AUS),1,1972,1972,RED BARON (CATAMARAN)
Hinckley (USA),1,1990,1990,HINCKLEY 43 (MCCURDY & RHODES)
Hinterhoeller Ltd. / C&C,1,1969,1969,C&C 35-1(REDWING 35)
Hinterhoeller Ltd. / C&C (CAN),1,1969,1969,REDWING 35 (C&C)
Hinterhoeller Yachts (CAN),2,1976,1981,AURORA 40
Hinterhoeller Yachts Ltd.,2,1959,1994,SHARK 24
Hinterhoeller Yachts Ltd. (CAN),12,1967,1984,HINTERHOELLER 30
Hinterholler Ltd. /Skene Boats Ltd. (CAN),2,1963,1965,HR 20 (CYGNUS)
HMS Marine Inc. (USA),1,1982,1982,WEST WIGHT POTTER 15 MK II
"Ho Hsing FRP Co. Ltd., Taiwan",1,1982,1982,NANTUCKET ISLAND 38
Hobie Cat,7,1976,2013,HOBIE 17
Hobie Cat  (USA),2,1986,1987,HOBIE ONE-14
Hobie Cat (USA),1,1973,1973,HOBIE MONOCAT 12
Hobie Europe,2,1995,2000,HOBIE FOX
Hobiecat Europe,1,2001,2001,HOBIE DRAGOON
Hodgdon Brothers (USA),2,1915,1939,CAMDEN CLASS
Holby Marine,1,1946,1946,POINT JUDE 15
Holby Marine (USA),4,1985,2002,GANNET 40
Holby Marine/Mark Lindsay,1,1989,1989,TRIPP 38
Holder Marine (USA),2,1982,1982,HOLDER 17
Holiday Boat (PHI),1,1988,1988,HOLIDAY 47
