builder_raw,model_rows,first_year_min,first_year_max,sample_model
Alibi Catamarans (THAILAND),1,2013,2013,ALIBI 54
Allegro Båt AB (SWE),1,1966,1966,ALLEGRO 30
Allegro Båt AB/ Marieholms  (SWE),1,1978,1978,FORTISSIMO
Allen Boat Co. (USA),1,1968,1968,BORSAW 40
Alliaura Marine,1,2007,2007,FEELING 55
Alliaura Marine (France),4,1999,2006,PRIVILEGE 495
Allied Boat Co. (USA),3,1962,1975,CHANCE 30-30 (ALLIED)
Allied Boat Co. Inc. (USA),2,1963,1968,SEABREEZE 35 (ALLIED)
Allmand Boats Inc. (USA),2,1975,1975,ALLMAND 23 (HMS 23)
Allotts/Yachthaven Ltd. (UK),1,1982,1982,HAWKSBILL 24
Allures Yachting,1,2013,2013,ALLURES 39.9
Allures Yachting (FRA),4,2005,2021,ALLURES 40
Alo Yachts (NOR),3,1972,1982,ALO MIKKEL 26
Aloa Marine (FRA),4,1967,1978,ALOA 23
Aloa Marine (FRA)/SEB Marine,1,1969,1969,ALOA 21
Aloha Yachts (CAN),2,1981,1983,ALOHA 10.4
Aloha Yachts International (CAN),1,1972,1972,ALOHA 28
Alpa (ITA),8,1967,1976,ALPA A9
Alsberg Bros. (USA),2,1984,1987,EXPRESS 37-2
Alubat,2,2008,2019,OVNI 445
Alubat (FRA),8,1974,2007,OVNI 495
Amapala Marine SA (HONDURAS),1,1980,1980,HERRESHOFF 37
Amateur or Professional,1,1964,1964,ARAFURA CADET
Amazon Yachts (CAN),1,1984,1984,AMAZON 37
"AMC (Croisic, FRA)",1,1963,1963,MILORD
Amel,1,1962,1962,ALISIO 31 (AMEL)
Amel (FRA),8,1966,2026,EUROS 39 (AMEL)
America Yacht Inc. (USA),1,1984,1984,AMERICA 17
American Boat Co./Paceship Yachts (CAN),1,1962,1962,PACESHIP P2-20
American Boatbuilding Corp./Metalmast Marine,1,1957,1957,GALAXY 32
American Fiberglass Corp.,2,1970,1970,DELUXE SAIL
American Fiberglass Corp.(USA),1,1973,1973,AMERICAN 2+2 MINI-TON
American Marine Ltd. (HK),1,1965,1965,MAGELLAN 35
American Marine PTE  (HK),1,1963,1963,CALKINS 40
American Mariner Industries (USA),3,1976,1979,AMERICAN 24
American Sail Inc.,1,1993,1993,PENNANT DAYSAILER
American Sail Inc. (USA),3,1981,1992,AQUA FINN
AMF,1,1975,1975,SUNBIRD 16 (AMF)
AMF (USA),1,1977,1977,APOLLO 16
AMF Alcort (USA),4,1971,1982,MINIFISH
AMF Alcort/Vanguard Sailboats (USA),1,1984,1984,ZUMA
AMF/Alcort,1,1971,1971,WINDFLITE - FLITE 14
AMF/Alcort (USA),1,1972,1972,HILU
Amiot Naval (FRA),1,1974,1974,AMETHYSTE
Amsterdam Shipyard (NED),1,1960,1960,SEAFARER BAHAMA 35 MS
Anassis (GRE),1,1990,1990,ATLANTIC 44
Anchor Reinforced Plastics (USA),1,1961,1961,WHISTLER 11
Anchor Reinforced Plastics/MFG Sailboats (USA),1,1967,1967,PINTAIL
Anchor Sailboat/MFG (USA),1,1968,1968,REDHEAD 17
Ancom Marine Ltd. (CAN),1,1972,1972,ANCOM 23
Anderson Rigden & Perkins (UK),1,1980,1980,ANDERSON 26
Anderson Yachts Ltd. (TAIWAN),3,1976,1980,HANS CHRISTIAN 38T (TELSTAR KEEL)
"Anderson, Rigden & Perkins (UK)",1,1974,1974,ANDERSON 22
"Anderson, Rigden & Perkins/Richmond Marine (UK)",1,1966,1966,SKIPPER 17 (MILNE)
"Anesty Yachts, (UK)",1,1968,1968,TRAPPER 28
Annapolis Custom Yachts (USA),1,1984,1984,FARR 33
Anne Wever,2,1961,1966,TRINTELLA IA
Anne Wever (NED),3,1968,1981,TRINTELLA IV
Anne Wever Shipyard (NL),1,1969,1969,TRINTELLA III
Anstey Yachts,1,1966,1966,STRIDER 35
Antigua Yachts (USA),1,1981,1981,ANTIGUA 44
Antila Yachts (POL),2,2014,2019,ANTILA 30.1
Anttila Yachts (POLAND),2,2009,2011,ANTILA 27
Aquaboats/Aln Boatyard (UK),1,1969,1969,FANTASIE (TUCKER)
Aquadyne Boat Co. (USA),1,1974,1974,SAILBIRD 18 (TRI)
"Aquafiber Ltd, (UK)",1,1971,1971,PJ-30 (AQUAFIBRE)
Aquafibre (UK),1,1970,1970,PJ-34
Aragosa Yachts (CAN),2,1988,1988,ARAGOSA 38
Archambault,2,1979,1985,SUSPENS (ARCHAMBAULT)
Archambault (FRA),3,1968,2014,A 27 (ARCHAMBAULT)
Archambault Boats (FRA),1,2006,2006,A 35 (ARCHAMBAULT)
Arcoa (FRA),1,1958,1958,ARCOA 520
Arcoa-Jouet (FRA),1,1971,1971,FANDANGO 33
Arcona Yachts,2,2010,2018,ARCONA 340
Arcona Yachts (SE),1,2022,2022,ARCONA 435 MKII
Arcona Yachts (SWE),2,2007,2014,ARCONA 380/385
Arey's Pond (USA),1,2022,2022,XFC 22 (AREY'S POND)
Arey's Pond Boat Yard (USA),2,2004,2016,AREY'S POND DAYSAILER
Aristocat Marine Ltd. (UK),1,1969,1969,ARISTOCAT 30
Arkady Marine Inc./Ft. Myers Yachts (USA),1,1980,1980,NIGHTWIND 35
Arla Plastindustries/Norrlandsplast,1,1964,1964,LAURIN 32
Arme Batt (NOR),1,1972,1972,SCAMPI 26
Arme Batt (NOR)/Solna Marin (SWE),1,1972,1972,LILL SCAMPI 26
Arne Arksunds,1,1981,1981,AMIGO 33
Arne Arksunds (SWE),1,1970,1970,AMIGO 23
Arrchambault (FRA),1,2005,2005,ARCHAMBAULT 40RC
Artecna (FRA),1,1974,1974,DELPH 32
Artekno (FIN),2,1980,1985,ARTINA 33
Artekno OY (FIN),1,1988,1988,ARTINA 29
Artekno/Lito Marin (FIN),1,1981,1981,SIESTA 32
Asmus KG Yachtbau (GER),1,1977,1977,HANSEAT 33 (3/4 TONNER)
Astillero Alpha SRL (ARG),1,1978,1978,ALPHA 25
Astillero Oceantech (ARG),1,1996,1996,MYSTIC 23.5
Astillero Zimmermann,1,1990,1990,ALBATROS 950
Astilleros  Dresport S.A (ESP),1,1984,1984,FURIA 37
Astilleros Gallart (ESP),3,1962,1984,CARLSON 30
Astilleros Omega (ESP),1,1988,1988,SOVEREIGN 470
"Astilleros Puma/Naoglass, S.A. (ESP)",1,1975,1975,PUMA 34/341
Astus Boats (FRA),6,2010,2020,ASTUS 18.2
Atelier Outremer (FRA),2,2020,2023,OUTREMER 52
Atlanta Bootsbau (GER),2,1961,1972,KORALLE
Atlantiv (GRE),1,1988,1988,ATLANTIC 55
"Aura Yachts, Inc. (USA)",1,1975,1975,AURA A35
Avallone (ITA),1,1981,1981,DUCK 31
Avance Yachts (FIN),1,1980,1980,AVANCE 36
Aventura Catamarans (TUN),1,2025,2025,AVENTURA 45
Azzura Marine (NZ),1,2006,2006,MARTEN 49
B Boats (USA),1,1995,1995,B-32 (BEILEY)
B-Yachts (ITA),1,2020,2020,B34 (BRENTA)
B-Yachts srl,1,2004,2004,B38 (BRENTA)
B2 Marine (FRA),1,1992,1992,BLUE DJINN
Bachs Badverft (DEN),1,1988,1988,DYNAMIC 2000
Bachs Bådværft (DEN),1,1985,1985,DYNAMIC 4000
BACO Aluminium (Ravensbourne) Ltd. (UK),1,1977,1977,SARUM 28
Baker Yachts (AUSTRALIA),1,1965,1965,BROLGA 33
Balance Catamarans,1,2025,2025,BALANCE 502
Balance Catamarans (USA and ZAF),1,2024,2024,BALANCE 580
Balance Catamarans (ZAF),1,2021,2021,BALANCE 442
Ballina Marine (ESP),1,1971,1971,SIROCCO 31
Balt Yacht,1,2012,2012,BALT 26
Balt Yaht,1,2012,2012,BALT 27
Balt-Yacht,2,1990,1990,BALT 17
Baltic Yachts (FIN),5,1977,1994,BALTIC 47
Baltic Yachts (FIN) Vismara Yachts (ITA),1,1986,1986,BALTIC 43
Bandholm (DEN),4,1963,1979,BANDHOLM 20
Bandholm Yachts (DEN),1,1987,1987,BANDHOLM 33
Bangor Punta,1,1971,1971,CAL 33
Bangor Punta Marine,1,1984,1984,CAL 44
Bangor Punta Marine (USA),2,1977,1983,CAL 2-25
Bangor Punta(USA),1,1976,1976,RANGER 28
Barberis (ITA),2,1974,1975,SHOW 34
Barefoot Enterprises (USA),1,1970,1970,BAREFOOT 12
Barnett Boat Co.,1,,,BARNETT MAX
Barnett Boats (USA),1,1961,1961,BUTTERFLY
Barron Yachts (Aus),1,,,BARONESS 22
Bashford Howison,1,1990,1990,BH 41
Bashford International (AUS),1,1997,1997,SYDNEY 46
Bavaria,3,1978,2000,BAVARIA HOLIDAY 38
Bavaria Yachtbau,1,1999,1999,BAVARIA OCEAN 47 CC
Bavaria Yachts,4,1989,2014,BAVARIA CRUISER 33
Bavaria Yachts (GER),28,1978,2021,BAVARIA CRUISER 40S (FARR)
Bayfield Boat Yard,1,1975,1975,BAYFIELD 25
Bayfield Boat Yard Ltd. (CAN),2,1973,1982,BAYFIELD 30/32
Bayfield Boatyard,1,1978,1978,BAYFIELD 29
Bayliner Marine Corp,1,1978,1978,BUCCANEER 277
Bayliner Marine Corp (USA),2,1978,1978,BUCCANEER 272
Bayliner Marine Corp. (USA),6,1974,1978,BUCCANEER 245
Bayliner Marine Corp. /US Yachts,1,1977,1977,BUCCANEER 305
Bboats (USA),1,1989,1989,B-25 (BEILEY)
Becker (SWE),1,1976,1976,FLAMINGO 40
Beetle Boat Co. Inc. (USA),1,1935,1935,TECH DINGHY
Beetle Boat Co./American Boat Building (USA),1,1957,1957,BLOCK ISLAND 40
"Beetle, Inc. (USA)",1,1921,1921,BEETLE CAT
Bell Woodworking (UK),2,1956,1959,SEAGULL 18
Bell Woodworking/plans available,1,1980,1980,MIRADOR
Bellamer (FIN),2,2000,2000,SOUTH 35
Bellena Marine (UK),1,1968,1968,KING'S CRUISER 29
Belliure (ESP),2,1976,1981,BELLIURE 30
Benello (ITA),1,1968,1968,FREYA 44 (S&S)
Benenteau,1,2011,2011,OCEANIS 41 (BENETEAU)
Beneteau,53,1985,2019,FIRST 210 (BENETEAU)
Beneteau (FRA),50,1963,2025,OCEANIS 52 (BENETEAU)
Beneteau (USA),9,1979,2006,OCEANIS 42 CC (BENETEAU)
Beneteau(FRA),1,1981,1981,CALIFORNIA 5.50 (BENETEAU)
Benjamin Hallock (USA),1,1909,1909,SS CLASS
Bente Yachts (GER),1,2022,2022,BENTE 28
Betts Ent. (USA),1,2002,2002,FARR 36 OD - 2002
Betts Moulding Ltd.,1,1968,1968,YEOMAN
Bianca (DEN),1,1979,1979,BIANCA 414
Bianca Yachts,1,1985,1985,BIANCA 107
Bianca Yachts (DEN),2,1974,1977,BIANCA 28
Bianca Yachts (DEN) / H. Moser (SUI),1,1986,1986,DYNAMIC 35
Bill Dodds Boats (USA),1,1957,1957,BUTTERBALL
Bill Lee Yachts Inc. (USA),1,1978,1978,SANTA CRUZ 33
Birdyfish (FRA),2,2022,2025,BIRDYFISH S
Bjarn Aas (NOR),1,1936,1936,INTERNATIONAL ONE DESIGN
BK Marin (SWE),1,1978,1978,MAMBA 31
Blanchard Boat Co. (USA),1,1928,1928,GEARY 18
Blanchard Boatworks (USA),3,1934,1947,BLANCHARD KNOCKABOUT JR.
Blondecell,1,1985,1985,CATFISHER 32 MS
Blondecell Marine (UK)/Tradewind,1,1975,1975,TRADEWIND 35
Blue Buoy Yacht Corp. (USA),1,1970,1970,DEL REY 50
Blue Jacket Yachts (USA),1,2012,2012,BLUE JACKET 40
Blue Water Marine (AUS),1,1967,1967,CORSAIR
Bluewater Boat Company (USA),1,1938,1938,INGRID 38
Bluewater Yacht Builders Ltd. (TAIWAN),1,1972,1972,VAGABOND 47
Boat Co. of Mystic (USA),1,1977,1977,MYSTIC MINI-TON
Boat Co. of Mystic/Able Shipwrights/Recreation Marine,1,1976,1976,POINTIN 29
Bock Boats (USA),1,1960,1960,PRIVATEER 18
Bolwell Fibreglass,1,1977,1977,SUNBIRD 25
Bombardier,1,1973,1973,BOMBARDIER INVITATION
Bombardier (CAN),1,1974,1974,BOMBARDIER 3.8
Bombardier Ltd. (CAN),1,1982,1982,BOMBARDIER 4.8
Bonin (ITA),1,2007,2007,BONIN 31
Boo Marin,1,1978,1978,ANGIT 25
Boo Marin (SWE),2,1976,1982,APHRODITE 25
Boomaroo Yachts (AUS),1,1980,1980,BOOMAROO 25
Boomerang Yachts (AU),1,1986,1986,B63 (MAIZEY)
Borge Bringsvaerd (NOR),1,1974,1974,SMILING 28
Borgs plast AB/Malo Yachts (SWE),1,1964,1964,ARIETTA 31
Boréal (FRA),2,2010,2014,BORÉAL 52
Boréal Yachts,1,2017,2017,BORÉAL 47
Boston Whaler,1,1965,1965,SQUALL
Boston Whaler (USA),2,1977,1977,HARPOON 4.6
Boston Whaler /Aquarius Sail Inc. (USA),2,1985,1985,SUPERCAT 17
"Bothén, Bertil",1,1913,1913,STJÄRNBÅT
Bowman,1,1972,1972,BOWMAN 46 CORSAIR
