builder_raw,model_rows,first_year_min,first_year_max,sample_model
(DEN),1,1977,1977,IMPALA 20
1720  Yachts (UK),1,1994,1994,CORK 1720
2GM,1,1993,1993,ROGERS 30
3C Composites (FRA),1,2002,2002,BONGO 9.60
A & T Marine Services/Whisstock's Boatyard,1,1976,1976,NAJA 30
A F Platt  Ltd.  (UK),1,1968,1968,FINESSE 21
A H Moody & Son Ltd (UK),2,1968,1976,CARBINEER 44 (MOODY)
A H Moody & Sons Ltd.,1,1940,1940,BRITTANY CLASS
A Malcolm/Bute Slip Dock,1,1921,1921,RIVER CLASS
A. B. Radab (SWE),1,1981,1981,WINDEX 92
A. H. Moody & Son Ltd,3,2000,2009,MOODY 47-2
A. H. Moody & Son Ltd./Halmatic,1,1973,1973,MOODY 44-1
A. H. Moody & Sons Ltd. (UK),1,1981,1981,MOODY 27
A. Hutchinson & Co/John Hildtich (IRELAND),1,1898,1898,BELFAST LOUGH ONE-DESIGN (CLASS II)
A. J. Van Heyden,1,1977,1977,SPIRIT 32
A. J. Van Heygen (BEL),1,1962,1962,HORIZON (VAN DE STADT)
A. Le Comte (NL),1,1973,1973,ALC 46 (LE COMTE)
A. R. Luke/Elephant Boatyard (UK),1,1925,1925,HAMBLE STAR
A. V. Robertson Ltd. (UK),1,1970,1970,SUNRIDER 25
A.G. Hurley Marine Ltd. (UK),1,1959,1959,FELICITY 20 (HURLEY)
A.H. Moody and Sons/Cheoy Lee/E.F.Elkins,1,1936,1936,VERTUE
A.J.S. Marine Service (UK),1,1989,1989,JOLLY BOAT (LAURENT  GILES)
A.M. Dickie & Sons,1,1926,1926,FIFE ONE DESIGN
A/S Nillings Bådeværft (DEN),2,1968,1979,DRABANT 27
AA Boats (FIN),1,1974,1974,ANTILLA 36
AB Oja Batar (FIN),2,1982,1982,AVANCE 40
Abbott Boats (CAN),1,1980,1980,ABBOTT 33
Abbott Boats Inc. (CAN),2,1977,1986,ABBOTT 27
Abbott Boats Ltd. (CAN),1,1985,1985,ABBOTT 36
ABC Fabrikerna (SWE),1,1972,1972,TRISS MAGNUM
Abeking & Rasmussen,3,1911,1954,SWALLOW
Able Marine,1,2003,2003,MORRIS 51
Able Marine Custom Yachts,1,1995,1995,APOGEE 50 (PAINE)
Able Marine Inc. (USA),2,1980,1981,WHISTLER 32 CUTTER
Ackerman Boat Works/Dorchester Shipbuilding (USA),1,1955,1955,NEWPORTER
ACNNO Shipyard (FRA),1,1981,1981,DALITE
ACVA-Båt (SWE),1,1967,1967,ALLEGRO 27
AD Boats (CROATIA),1,2006,2006,SALONA 37
Adams Yachts & others,1,1978,1978,ADAMS 13
"ADH Inotec,",1,2014,2014,DIAM 24
Admiral Yachts (ZAF),1,2000,2000,ADMIRAL 50 (LAVRANOS)
Admiralty Yachts (SINGAPORE),1,2006,2006,ADMIRALTY 30
Adriatic Yachts (USA),1,1980,1980,ALPHA 48
Advance Sailboat / Continental Sailcraft (USA),1,1973,1973,US1
Advance Sailboat Corp. (USA),2,1951,1956,INTERNATIONAL FJ
Advanced Marine Tech (SKOR),1,2008,2008,KM36
Advanced Yachts (ITA),1,2011,2011,ADVANCED 66
Aerodyne Marine (ZAF),3,2000,2001,AERODYNE 47
Aeromarine Plastics (USA),1,1960,1960,TRITON (AEROMARINE)
African Cats B.V.,4,2002,2004,FASTCAT 525
AGB Marine,1,1977,1977,EPOCH (EVERITT)
Agrion (BEL); MC2 Shipyard (FRA); Alumarine (FRA),1,1988,1988,AKELA 50
Aira Boats,1,2018,2018,AIRA 22
Alan Feltham (UK),1,1960,1960,HOLMAN 26
Albin Marine,1,1978,1978,ALBIN EXPRESS
Albin Marine (SWE),6,1973,1983,SCAMPI 30-4
Albin Marine AB (SWE),1,1965,1965,VEGA 27 (ALBIN)
Albin Yachts (SWE),1,1970,1970,SCAMPI 30-2
Alcort (USA),1,1945,1945,SAILFISH (ALCORT)
Alcort Inc. (USA),1,1959,1959,SUPER SAILFISH MKII
Alcort/AMF; Vanguard (USA),1,1952,1952,SUNFISH
Alden Yachts Inc. (USA),3,1985,1992,ALDEN 45
Alden Yachts/Tillotson Pearson (USA),1,1976,1976,ALDEN 44
"Alerion Yachts Inc, (USA)",1,1996,1996,ALERION EXPRESS 33
Alexander Marine (TAIWAN),1,1987,1987,MACINTOSH 47
